cfg_J_lanes,cfg_Ks_max,cfg_W_slots,cfg_theta_3db_deg,compare_ok,gap_K_abs,gap_K_pct,gap_peak_load_abs,gap_used_sats_abs,heur_K,heur_K_key,heur_U_max,heur_U_max_key,heur_U_mean,heur_U_mean_key,heur_beam_r_mean,heur_beam_r_mean_key,heur_ent_edge_pct,heur_ent_edge_pct_key,heur_ent_risk,heur_ent_risk_key,heur_error,heur_payload_K_max,heur_payload_K_over_sum,heur_payload_T_max,heur_payload_T_over_sum,heur_payload_feasible,heur_payload_n_viol_K,heur_payload_n_viol_T,heur_time_ab_A0_s,heur_time_ab_A1_s,heur_time_ab_A2_s,heur_time_ab_A3_s,heur_time_assoc_s,heur_time_baseline_bkmeans_s,heur_time_baseline_tgbp_s,heur_time_baseline_with_qos_s,heur_time_baseline_without_qos_s,heur_time_ent_ref_s,heur_time_lb_ref_s,heur_time_sat_select_s,heur_time_split_s,heur_time_sys_balanced_max_elev_s,heur_time_sys_max_service_time_s,heur_time_sys_pure_max_elev_s,heur_time_usergen_s,heur_used_sats,heur_wall_s,milp_K,milp_active_beam_ids,milp_beam_time_load_max,milp_beam_time_load_mean,milp_best_bound,milp_diag_avg_feasible_beams_per_user,milp_diag_avg_users_per_candidate_beam,milp_diag_max_users_per_candidate_beam,milp_diag_median_feasible_beams_per_user,milp_diag_median_users_per_candidate_beam,milp_diag_min_feasible_beams_per_user,milp_diag_n_candidates,milp_diag_n_users,milp_error,milp_feasible,milp_grid_spacing_m,milp_mip_gap,milp_n_active_beams,milp_n_candidate_sats,milp_n_candidates,milp_n_grid_centers,milp_objective,milp_objective_mode,milp_optimal,milp_sat_beam_count_max,milp_sat_beam_count_mean,milp_sat_time_load_max,milp_sat_time_load_mean,milp_solve_time_s,milp_status,milp_time_limit_s,milp_used_sat_indices,milp_used_sats,milp_wall_s,n_users,region_mode,runtime_ratio_heur_over_milp,seed,study
8.0,256,8,1.0,1,5.0,16.666666666666668,-0.08737209001824647,0.0,35,main_ref_lb_K,0.15471670524077713,main_ref_lb_U_max,0.047972329284686324,main_ref_lb_U_mean,14.677753329174356,main_ref_lb_radius_mean_km,33.333333333333336,main_ref_lb_ent_edge_pct,0.022149493738318097,main_ref_lb_risk_sum,,35,0.0,1.6790315249640213,0.0,True,0,0,0.023743599998852005,0.018814600000041537,0.03434639999977662,0.042358800001238706,0.00038500000300700776,nan,nan,0.04791489999843179,0.047969799998099916,0.027102100000774954,0.0,22.6286220999973,0.03782389999832958,0.042358800001238706,0.04189059999771416,0.04098080000039772,0.0020053000007465016,1,23.09808300000077,30,4 13 23 25 33 41 46 50 53 55 58 70 72 77 87 90 92 102 104 105 130 135 154 158 166 177 204 208 213 218,0.2420887952590236,0.05804661433843754,1603.0,40.91,2.6024173027989823,15.0,41.0,2.0,24.0,1572.0,100.0,,1,10000.0,0.0,30,10,1572,8640,1603.0,weighted_sat_beam,1,30,30.0,1.7413984301531262,1.7413984301531262,0.31354149999970105,OPTIMAL,300.0,0,1,27.481358699998964,100,turkey,0.8405000368486745,1,grid_sensitivity
8.0,256,8,1.0,1,6.0,18.75,-0.1527031519006208,0.0,38,main_ref_lb_K,0.09703966149756679,main_ref_lb_U_max,0.03635404816279155,main_ref_lb_U_mean,13.76980731222328,main_ref_lb_radius_mean_km,0.0,main_ref_lb_ent_edge_pct,0.0,main_ref_lb_risk_sum,,38,0.0,1.381453830186079,0.0,True,0,0,0.023054400000546593,0.021861200002604164,0.02805609999995795,0.040713899998081615,0.00036360000012791716,nan,nan,0.05439710000064224,0.053118100000574486,0.005440900000394322,0.012756200001604157,23.10829929999818,0.022204299999430077,0.040713899998081615,0.04077959999995073,0.03910099999848171,0.0019637000004877336,1,23.524349600000278,32,4 10 29 31 44 57 60 73 75 77 87 90 94 100 106 113 115 123 126 131 136 140 144 147 152 165 169 180 186 201 206 212,0.2497428133981876,0.04497176393760971,1521.0,39.04,2.6236559139784945,15.0,39.0,2.0,19.0,1488.0,100.0,,1,10000.0,0.0,32,10,1488,7280,1521.0,weighted_sat_beam,1,32,32.0,1.4390964460035107,1.4390964460035107,0.34018019999712124,OPTIMAL,300.0,0,1,26.097376800000347,100,turkey,0.9014066731795038,2,grid_sensitivity
8.0,256,8,1.0,1,7.0,17.94871794871795,-0.1027236995431469,0.0,46,main_ref_lb_K,0.09720168249088985,main_ref_lb_U_max,0.032426229092372374,main_ref_lb_U_mean,13.329082398366683,main_ref_lb_radius_mean_km,7.6923076923076925,main_ref_lb_ent_edge_pct,0.0011872848481308523,main_ref_lb_risk_sum,,46,0.0,1.4916065382491293,0.0,True,0,0,0.02503230000002077,0.025281800000811927,0.035364799998205854,0.04734200000166311,0.00039230000038514845,nan,nan,0.06481340000027558,0.054947700002230704,0.009423299998161383,0.012051400004565949,22.998455499997362,0.026470799999515293,0.04734200000166311,0.04742110000006505,0.04794729999775882,0.0019570000004023314,1,23.485987300002307,39,1 17 35 39 45 58 63 67 87 92 111 116 129 131 142 144 146 157 159 168 170 172 173 182 186 188 190 195 200 201 204 207 208 213 217 225 236 251 255,0.19992538203403676,0.040476824220453955,1713.0,36.11,2.15839808726838,10.0,37.0,2.0,20.0,1673.0,100.0,,1,10000.0,0.0,39,10,1673,6477,1713.0,weighted_sat_beam,1,39,39.0,1.5785961445977041,1.5785961445977041,0.3701083000014478,OPTIMAL,300.0,0,1,25.547443600000406,100,turkey,0.9193087053141369,3,grid_sensitivity
8.0,256,8,1.0,1,10.0,29.41176470588235,0.018277025116860385,0.0,44,main_ref_lb_K,0.18304193621558734,main_ref_lb_U_max,0.05002723310228092,main_ref_lb_U_mean,14.151545110249996,main_ref_lb_radius_mean_km,5.882352941176471,main_ref_lb_ent_edge_pct,0.0018748688084654773,main_ref_lb_risk_sum,,44,0.0,2.2011982565003603,0.0,True,0,0,0.022913199998583877,0.023576399999001296,0.04647620000105235,0.06974959999934072,0.00035569999818108045,nan,nan,0.11594780000086757,0.11223020000034012,0.019927300003473647,0.023161099998105783,23.320407699997304,0.025306499999715015,0.06974959999934072,0.06209400000079768,0.061634899997443426,0.00250410000080592,1,24.014076199997362,34,7 11 21 23 26 27 48 50 57 60 66 73 81 86 89 93 96 105 107 109 118 122 125 138 169 172 180 185 193 220 227 235 245 279,0.16476491109872696,0.06820070513068506,1866.0,41.526666666666664,3.4019661387220097,28.0,41.0,2.0,18.0,1831.0,150.0,,1,10000.0,0.0,34,10,1831,8700,1866.0,weighted_sat_beam,1,34,34.0,2.3188239744432924,2.3188239744432924,0.4826662999985274,OPTIMAL,300.0,0,1,28.68989319999673,150,turkey,0.8370221538503356,1,grid_sensitivity
8.0,256,8,1.0,1,9.0,21.951219512195124,-0.23248590326145602,0.0,50,main_ref_lb_K,0.13012268736161997,main_ref_lb_U_max,0.04315826362197595,main_ref_lb_U_mean,13.370069601027716,main_ref_lb_radius_mean_km,0.0,main_ref_lb_ent_edge_pct,0.0,main_ref_lb_risk_sum,,50,0.0,2.1579131810987975,0.0,True,0,0,0.028064600002835505,0.03173450000031153,0.053338999998231884,0.05345300000044517,0.0003864999998768326,nan,nan,0.08049530000062077,0.06648679999852902,0.005805600001622224,0.010580699999991339,23.110472799999116,0.031362699999590404,0.05345300000044517,0.05486589999782154,0.04759330000160844,0.0024349999985133763,1,23.67512960000022,41,9 12 14 21 38 54 58 62 77 89 93 105 113 122 124 125 134 136 142 144 147 159 162 167 172 185 188 190 196 199 204 208 211 213 214 220 240 244 258 267 277,0.362608590623076,0.05646617207790819,1879.0,39.346666666666664,3.2128470332063146,21.0,39.0,2.0,25.0,1837.0,150.0,,1,10000.0,0.0,41,10,1837,7020,1879.0,weighted_sat_beam,1,41,41.0,2.315113055194235,2.315113055194235,0.4882913000001281,OPTIMAL,300.0,0,1,27.384629799998947,150,turkey,0.8645407943400837,2,grid_sensitivity
8.0,256,8,1.0,1,12.0,26.666666666666668,-0.037809330370632416,0.0,57,main_ref_lb_K,0.13294089523403851,main_ref_lb_U_max,0.038135548294624934,main_ref_lb_U_mean,13.354576785841296,main_ref_lb_radius_mean_km,25.0,main_ref_lb_ent_edge_pct,0.04357920793826862,main_ref_lb_risk_sum,,57,0.0,2.1737262527936214,0.0,True,0,0,0.04347520000010263,0.06423509999876842,0.07631770000079996,0.06294429999979911,0.0004039000014017802,nan,nan,0.07135360000029323,0.13740060000054655,0.012836199999583187,0.020243099999788683,23.270446199996513,0.033992600001511164,0.06294429999979911,0.05878329999904963,0.07393280000178493,0.0024278999990201555,1,24.03433589999986,45,10 28 37 45 49 54 75 78 85 91 99 102 112 122 130 144 155 157 162 170 174 177 181 192 197 199 200 208 209 211 212 220 224 230 233 236 238 248 251 257 266 277 290 294 298,0.17075022560467093,0.05037339185646247,2007.0,36.61333333333334,2.8006119326874046,14.0,37.0,2.0,22.0,1961.0,150.0,,1,10000.0,0.0,45,10,1961,6477,2007.0,weighted_sat_beam,1,45,45.0,2.2668026335408107,2.2668026335408107,0.5119011999995564,OPTIMAL,300.0,0,1,25.773530200000096,150,turkey,0.9325201364925854,3,grid_sensitivity
8.0,256,8,1.0,1,3.0,9.375,-0.05489123905013665,0.0,35,main_ref_lb_K,0.15471670524077713,main_ref_lb_U_max,0.047972329284686324,main_ref_lb_U_mean,14.677753329174356,main_ref_lb_radius_mean_km,33.333333333333336,main_ref_lb_ent_edge_pct,0.022149493738318097,main_ref_lb_risk_sum,,35,0.0,1.6790315249640213,0.0,True,0,0,0.019624700002168538,0.019758600003115134,0.03711919999841484,0.05569380000088131,0.0003525000029185321,nan,nan,0.09063830000013695,0.053771999999298714,0.013705900000786642,0.007704899999225745,22.024144500002876,0.020745699999679346,0.05569380000088131,0.0621266000016476,0.0454087999969488,0.0023318999992625322,1,22.539021600001433,32,0 4 6 10 15 17 21 24 27 28 30 31 33 37 38 40 42 43 45 46 48 56 61 68 72 76 88 93 95 97 102 105,0.20960794429091378,0.054150290262455936,746.0,17.94,2.5161290322580645,17.0,18.0,2.0,9.0,713.0,100.0,,1,15000.0,0.0,32,10,713,3840,746.0,weighted_sat_beam,1,32,32.0,1.73280928839859,1.73280928839859,0.1466048000002047,OPTIMAL,300.0,0,1,21.544958499998756,100,turkey,1.0461390120571703,1,grid_sensitivity
8.0,256,8,1.0,1,4.0,11.764705882352942,-0.09509008051701648,0.0,38,main_ref_lb_K,0.09703966149756679,main_ref_lb_U_max,0.03635404816279155,main_ref_lb_U_mean,13.76980731222328,main_ref_lb_radius_mean_km,0.0,main_ref_lb_ent_edge_pct,0.0,main_ref_lb_risk_sum,,38,0.0,1.381453830186079,0.0,True,0,0,0.020612100001017097,0.020595299996784888,0.026635199999873294,0.038744599998608464,0.00033320000147796236,nan,nan,0.04846140000154264,0.04869989999860991,0.004722000001493143,0.012865499997133156,15.478100699998322,0.021222600000328384,0.038744599998608464,0.03814499999862164,0.03867999999783933,0.0024011999994399957,1,15.868654499998229,34,1 5 9 12 16 24 26 31 36 37 39 40 41 42 43 45 46 50 51 56 58 59 60 61 63 65 66 73 77 80 84 88 90 93,0.19212974201458327,0.0425786521284091,716.0,17.77,2.6093979441997064,12.0,18.0,2.0,8.0,681.0,100.0,,1,15000.0,0.0,34,10,681,3306,716.0,weighted_sat_beam,1,34,34.0,1.4476741723659095,1.4476741723659095,0.09240150000186986,OPTIMAL,300.0,0,1,19.226226199996745,100,turkey,0.8253650162506107,2,grid_sensitivity
8.0,256,8,1.0,1,0.0,0.0,-0.07376591793332045,0.0,46,main_ref_lb_K,0.09720168249088985,main_ref_lb_U_max,0.032426229092372374,main_ref_lb_U_mean,13.329082398366683,main_ref_lb_radius_mean_km,7.6923076923076925,main_ref_lb_ent_edge_pct,0.0011872848481308523,main_ref_lb_risk_sum,,46,0.0,1.4916065382491293,0.0,True,0,0,0.022369999998772983,0.02541919999930542,0.03391949999786448,0.04622639999797684,0.00033769999936339445,nan,nan,0.05728169999929378,0.05368839999937336,0.006291300000157207,0.02407590000075288,14.666713399998116,0.015715300000010757,0.04622639999797684,0.04107389999990119,0.041814699998212745,0.0017368000007991213,1,15.097715299998526,46,1 15 17 19 21 25 28 35 37 41 44 53 56 57 58 59 61 65 67 69 70 71 73 76 79 83 84 85 87 89 90 91 92 93 95 96 98 100 101 104 105 110 111 113 121 123,0.1709676004242103,0.03425158094204852,830.0,16.8,2.1455938697318007,10.0,17.0,1.0,9.0,783.0,100.0,,1,15000.0,0.0,46,10,783,2975,830.0,weighted_sat_beam,1,46,46.0,1.5755727233342314,1.5755727233342314,0.14317429999937303,OPTIMAL,300.0,0,1,19.600398999999015,100,turkey,0.7702759163218711,3,grid_sensitivity
8.0,256,8,1.0,1,4.0,10.0,-0.003730654452017479,0.0,44,main_ref_lb_K,0.18304193621558734,main_ref_lb_U_max,0.05002723310228092,main_ref_lb_U_mean,14.151545110249996,main_ref_lb_radius_mean_km,5.882352941176471,main_ref_lb_ent_edge_pct,0.0018748688084654773,main_ref_lb_risk_sum,,44,0.0,2.2011982565003603,0.0,True,0,0,0.022110300000349525,0.024138699998729862,0.039082899998902576,0.05055219999849214,0.00034610000147949904,nan,nan,0.05575260000114213,0.05744530000083614,0.0190416000004916,0.013629000004584668,15.085878899997624,0.018624199998157565,0.05055219999849214,0.041217199999664444,0.05175009999948088,0.002272500001708977,1,15.559716599997046,40,2 5 8 10 12 14 18 21 23 25 28 30 33 34 36 39 40 42 43 45 46 47 49 50 52 54 55 59 68 71 74 76 78 91 95 97 100 106 112 122,0.18677259066760482,0.058396165572509116,858.0,18.633333333333333,3.4210526315789473,26.0,18.0,2.0,7.0,817.0,150.0,,1,15000.0,0.0,40,10,817,3880,858.0,weighted_sat_beam,1,40,40.0,2.3358466229003647,2.3358466229003647,0.19052970000120695,OPTIMAL,300.0,0,1,20.678094099999726,150,turkey,0.7524734399964479,1,grid_sensitivity
