bandwidth_hz,bk_fixed_K,bk_fixed_U_max,bk_fixed_U_mean,bk_fixed_U_min,bk_fixed_ent_edge_pct,bk_fixed_ent_exposed,bk_fixed_ent_total,bk_fixed_ent_z_max,bk_fixed_ent_z_mean,bk_fixed_ent_z_p90,bk_fixed_feasible_rate,bk_fixed_risk_sum,bk_rep_K,bk_rep_U_max,bk_rep_U_mean,bk_rep_U_min,bk_rep_ent_edge_pct,bk_rep_ent_exposed,bk_rep_ent_total,bk_rep_ent_z_max,bk_rep_ent_z_mean,bk_rep_ent_z_p90,bk_rep_feasible_rate,bk_rep_risk_sum,eirp_dbw,ent_moves_accepted,ent_moves_tried,eval_calls,lb_moves_accepted,lb_moves_tried,main_K,main_U_max,main_U_mean,main_U_min,main_ent_edge_pct,main_ent_exposed,main_ent_total,main_ent_z_max,main_ent_z_mean,main_ent_z_p90,main_feasible_rate,main_ref_K,main_ref_U_max,main_ref_U_mean,main_ref_U_min,main_ref_ent_edge_pct,main_ref_ent_exposed,main_ref_ent_total,main_ref_ent_z_max,main_ref_ent_z_mean,main_ref_ent_z_p90,main_ref_feasible_rate,main_ref_lb_K,main_ref_lb_U_max,main_ref_lb_U_mean,main_ref_lb_U_min,main_ref_lb_ent_edge_pct,main_ref_lb_ent_exposed,main_ref_lb_ent_total,main_ref_lb_ent_z_max,main_ref_lb_ent_z_mean,main_ref_lb_ent_z_p90,main_ref_lb_feasible_rate,main_ref_lb_risk_sum,main_ref_risk_sum,main_risk_sum,n_hotspots,n_splits,n_users,noise_frac,payload_J_lanes,payload_K_cap,payload_K_max,payload_K_over_max,payload_K_over_sum,payload_K_sum,payload_Ks_max,payload_T_cap,payload_T_max,payload_T_over_max,payload_T_over_sum,payload_T_sum,payload_W_min_req,payload_W_slots,payload_best_m,payload_enabled,payload_feasible,payload_global_cap,payload_global_impossible,payload_moves_accepted,payload_moves_accepted_K,payload_moves_accepted_T,payload_moves_accepted_smooth,payload_moves_tried,payload_moves_tried_K,payload_moves_tried_T,payload_moves_tried_smooth,payload_n_viol_K,payload_n_viol_T,radius_modes_km,region_mode,rho_safe,seed,sigma_max,sigma_min,tgbp_fixed_K,tgbp_fixed_U_max,tgbp_fixed_U_mean,tgbp_fixed_U_min,tgbp_fixed_ent_edge_pct,tgbp_fixed_ent_exposed,tgbp_fixed_ent_total,tgbp_fixed_ent_z_max,tgbp_fixed_ent_z_mean,tgbp_fixed_ent_z_p90,tgbp_fixed_feasible_rate,tgbp_fixed_risk_sum,tgbp_rep_K,tgbp_rep_U_max,tgbp_rep_U_mean,tgbp_rep_U_min,tgbp_rep_ent_edge_pct,tgbp_rep_ent_exposed,tgbp_rep_ent_total,tgbp_rep_ent_z_max,tgbp_rep_ent_z_mean,tgbp_rep_ent_z_p90,tgbp_rep_feasible_rate,tgbp_rep_risk_sum,time_assoc_s,time_baseline_bkmeans_s,time_baseline_tgbp_s,time_baseline_with_qos_s,time_baseline_without_qos_s,time_ent_ref_s,time_lb_ref_s,time_sat_select_s,time_split_s,time_usergen_s,use_hotspots,wk_demand_fixed_K,wk_demand_fixed_U_max,wk_demand_fixed_U_mean,wk_demand_fixed_U_min,wk_demand_fixed_ent_edge_pct,wk_demand_fixed_ent_exposed,wk_demand_fixed_ent_total,wk_demand_fixed_ent_z_max,wk_demand_fixed_ent_z_mean,wk_demand_fixed_ent_z_p90,wk_demand_fixed_feasible_rate,wk_demand_fixed_risk_sum,wk_demand_rep_K,wk_demand_rep_U_max,wk_demand_rep_U_mean,wk_demand_rep_U_min,wk_demand_rep_ent_edge_pct,wk_demand_rep_ent_exposed,wk_demand_rep_ent_total,wk_demand_rep_ent_z_max,wk_demand_rep_ent_z_mean,wk_demand_rep_ent_z_p90,wk_demand_rep_feasible_rate,wk_demand_rep_risk_sum,wk_qos_fixed_K,wk_qos_fixed_U_max,wk_qos_fixed_U_mean,wk_qos_fixed_U_min,wk_qos_fixed_ent_edge_pct,wk_qos_fixed_ent_exposed,wk_qos_fixed_ent_total,wk_qos_fixed_ent_z_max,wk_qos_fixed_ent_z_mean,wk_qos_fixed_ent_z_p90,wk_qos_fixed_feasible_rate,wk_qos_fixed_risk_sum,wk_qos_rep_K,wk_qos_rep_U_max,wk_qos_rep_U_mean,wk_qos_rep_U_min,wk_qos_rep_ent_edge_pct,wk_qos_rep_ent_exposed,wk_qos_rep_ent_total,wk_qos_rep_ent_z_max,wk_qos_rep_ent_z_mean,wk_qos_rep_ent_z_p90,wk_qos_rep_feasible_rate,wk_qos_rep_risk_sum
250000000.0,421,0.8329978254670728,0.08190038897578189,0.0020125136934903832,15.019762845849803,38,253,0.9978837299657531,0.43000339276220245,0.7897624140487604,0.9738717339667459,0.786739679988673,432,0.8329978254670728,0.08069765420953624,0.0020125136934903832,16.600790513833992,42,253,0.9978837299657531,0.4362456905625211,0.802750867690972,1.0,0.857202113288156,40.0,30,356,2295,46,1308,381,1.5348280532128278,0.09212229956492804,0.0020125136934903832,21.73913043478261,55,253,0.9977181521007487,0.4744425124787092,0.8444104682686336,1.0,381,1.4488148020501117,0.09195446278885967,0.0020125136934903832,14.624505928853756,37,253,0.9895489032400198,0.4489576369881174,0.768043445332962,1.0,381,0.964698408869529,0.09234024166225126,0.0020125136934903832,14.624505928853756,37,253,0.9895489032400198,0.4654877541580556,0.768043445332962,1.0,0.8321323989272233,0.8321323989272233,1.5851813771113852,10,1145,2500,0.15,8.0,256,198,0.0,0.0,381,256,64.0,19.791146858975104,0.0,0.0,35.09859613423758,3,8,2,True,True,128.0,False,0,0,0,0,0,0,0,0,0,0,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,2,30000.0,5000.0,292,0.4410972804945586,0.029921182627024957,0.0020125136934903832,7.905138339920948,20,253,0.9858369662225763,0.5969973735005873,0.9201946397730992,0.7363013698630136,0.693785601471349,389,2.1458731994638107,0.09070218337114344,0.0020125136934903832,18.972332015810277,48,253,0.9887625153447243,0.46994811042680074,0.8551720204913126,1.0,1.4598618809118096,0.007868400003644638,6.340904299999238,0.598056999995606,0.5168989000085276,0.47682489998987876,0.15666849999979604,0.14760860000387765,13.730006400001002,0.4404419000056805,0.024152400001185015,True,381,0.6507023826157368,0.09804529513122515,0.002612264731410109,5.138339920948616,13,253,0.979214037166586,0.34279305778556396,0.6223323163851828,0.8372703412073491,0.25508550235611865,425,0.6509366158794534,0.08163354975441016,0.0020125136934903832,14.229249011857707,36,253,0.9650858151301087,0.4000771305979255,0.7846772059085801,1.0,0.7299681091173831,381,0.8385550278567081,0.10151464152274257,0.002902348744018945,2.3715415019762847,6,253,0.8554197652056201,0.26530539927504565,0.5529449827434197,0.7900262467191601,0.05530134310055999,431,0.838326902139303,0.08061015567338518,0.0020125136934903832,13.438735177865613,34,253,0.983583174575353,0.3886025581221546,0.7410803067372459,1.0,0.9415857503540805
250000000.0,417,1.0869644026146756,0.0875679825963575,0.0020026539345595856,20.338983050847457,48,236,0.9920083349816207,0.4499310384452512,0.8155039238408747,0.9856115107913669,1.0056771584198092,424,1.0869644026146756,0.08698397250721793,0.0020026539345595856,19.915254237288135,47,236,0.9920083349816127,0.449107636750256,0.811537545856605,1.0,1.0013837192554622,40.0,19,306,2403,71,259,401,3.344379368986547,0.09178179927915166,0.0013786214411392926,17.796610169491526,42,236,0.9948530834837237,0.43354769123326076,0.7736645489627882,1.0,401,3.344379368986547,0.0916139172885971,0.0013786214411392926,12.288135593220339,29,236,0.9948530834837237,0.41965538669507396,0.7273525486716126,1.0,401,1.904948215230445,0.092113453674589,0.0013786214411392926,12.288135593220339,29,236,0.9948530834837237,0.4386383563839325,0.7273525486716126,1.0,0.610450159325806,0.610450159325806,0.7643879971586959,10,1199,2500,0.15,8.0,256,216,0.0,0.0,401,256,64.0,20.132956594054697,0.0,0.0,36.804501510939815,3,8,2,True,True,128.0,False,0,0,0,0,0,0,0,0,0,0,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,3,30000.0,5000.0,312,0.4650938121744279,0.03176195904213187,0.000996085946031616,8.474576271186441,20,236,0.9948530834837237,0.5241384588565698,0.9513058175653435,0.7628205128205128,0.6896151804104804,409,3.06819592056989,0.09069385422933339,0.000996085946031616,18.64406779661017,44,236,0.9948530834837237,0.45076680964424615,0.8398102504717238,1.0,1.3100294586817633,0.007617499999469146,7.409494599996833,0.5878208000067389,0.5429713999910746,0.6187155000079656,0.14993879999383353,0.1125128000130644,12.777728100001696,0.4469239000027301,0.023755600006552413,True,401,0.7840725551118258,0.09474505120380274,0.0020026539345595856,9.322033898305085,22,236,0.9689276134013517,0.368713782986787,0.6981740975927702,0.8628428927680798,0.47003955605005976,443,0.7846088369118753,0.08279528739073447,0.000996085946031616,17.796610169491526,42,236,0.9814273656319878,0.4319055812307873,0.8051625776498785,1.0,0.972703265751245,401,1.093278921047217,0.09724455716012853,0.0020026539345595856,2.9661016949152543,7,236,0.9757796799184694,0.248602958375484,0.5009102753681269,0.827930174563591,0.22726828325704923,454,1.0927982317890848,0.08063228141730888,0.0020026539345595856,17.372881355932204,41,236,0.9948530834837237,0.39073986900425184,0.7737914932274239,1.0,0.7981036903229933
250000000.0,418,0.8290950909632439,0.07377633194100955,0.0018804877815273516,15.209125475285171,40,263,0.998848260877134,0.4350411050142828,0.7894463930153763,0.9808612440191388,1.0793378843904935,426,0.8290950909632439,0.07322954959112858,0.0018804877815273516,15.96958174904943,42,263,0.998848260877134,0.4388317411925623,0.7899105766301757,1.0,1.0904231497078154,40.0,21,268,2355,111,3960,394,1.1060801540955252,0.07930007168399232,0.0018804877815273516,17.11026615969582,45,263,0.998848260877134,0.4488056880220503,0.7981463252543446,1.0,394,1.1060801540955252,0.07915269051265332,0.0018804877815273516,11.787072243346008,31,263,0.998848260877134,0.42856816232108746,0.7327967230035034,1.0,394,0.7297469139260953,0.07979039850526902,0.0018804877815273516,11.787072243346008,31,263,0.998848260877134,0.4431655823972155,0.7327967230035034,1.0,0.6584750794894562,0.6584750794894562,1.3192073201800876,10,1175,2500,0.15,8.0,256,227,0.0,0.0,394,256,64.0,18.02463041347409,0.0,0.0,31.244228243492973,3,8,2,True,True,128.0,False,0,0,0,0,0,0,0,0,0,0,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,4,30000.0,5000.0,307,0.14390744500621572,0.025419839629196993,0.0018804877815273516,8.745247148288973,23,263,0.9884045190741428,0.5318562521684149,0.9323163475713574,0.7263843648208469,0.6199156160217084,414,1.5967368787452263,0.07628368274476764,0.0018804877815273516,21.29277566539924,56,263,0.9884045190741428,0.4926694984606466,0.8386299002250601,1.0,1.3572275599353354,0.003710300021339208,6.508566200005589,0.5862313999969047,0.5775655000034021,0.4719803000043612,0.12261099999886937,0.37225909999688156,13.3254803000018,0.4333372999972198,0.024789100003545173,True,394,0.5837282278699942,0.08441861958284866,0.003004188442540063,9.125475285171103,24,263,0.9937248049572098,0.3673250952438013,0.6684343730053096,0.8553299492385786,0.4965637101951742,435,0.5851237898175304,0.07151842228910965,0.0018804877815273516,15.96958174904943,42,263,0.9697051321045455,0.4113473629843728,0.7763204720606569,1.0,0.8595074859497488,394,0.6335778429394024,0.08451537525444233,0.003168389029276015,3.802281368821293,10,263,0.8960971893089454,0.25659963897878474,0.5197318380931893,0.8223350253807107,0.17574468039519642,458,0.6847954399322064,0.0677583109743569,0.0018804877815273516,12.927756653992395,34,263,0.9925423690973685,0.36089032880518906,0.7796853698101953,1.0,0.9107684416126619
250000000.0,440,1.1598442144379477,0.07739694980477355,0.0018664419522084518,13.229571984435797,34,257,0.9925470175730551,0.4133034120656795,0.7704608127135057,0.9772727272727273,0.6726848869028259,450,1.1598442144379477,0.07721600175679491,0.0018664419522084518,14.007782101167315,36,257,0.992547017573058,0.41310313713124097,0.7735272972463708,1.0,0.6996748301331065,40.0,21,388,2421,15,75,406,3.0695467398208285,0.08613794858574535,0.0016161619852449955,19.06614785992218,49,257,0.9927211392600185,0.439802375628761,0.8177111289052227,1.0,406,3.0695467398208285,0.08599526344424671,0.0016161619852449955,13.229571984435797,34,257,0.9927211392600185,0.42065527081731624,0.7535287098242031,1.0,406,3.0695467398208285,0.08608160088967193,0.0016161619852449955,13.229571984435797,34,257,0.9927211392600185,0.42347283861669477,0.7535287098242031,1.0,0.6927524635679894,0.6927524635679894,1.2320225906921853,10,1208,2500,0.15,8.0,256,224,0.0,0.0,406,256,64.0,20.310049154813882,0.0,0.0,34.97200712581261,3,8,2,True,True,128.0,False,0,0,0,0,0,0,0,0,0,0,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,5,30000.0,5000.0,312,3.1147658451018705,0.041187833172558745,0.0016161619852449955,6.22568093385214,16,257,0.9966826721096895,0.41739849772814236,0.8376601502967265,0.7371794871794872,0.45486949045681246,416,3.1147658451018705,0.08458730873112241,0.0016161619852449955,20.622568093385215,53,257,0.9966826721096895,0.45871096725358934,0.8169608255736159,1.0,1.1670572793146243,0.005755899997893721,7.233630899980199,0.4989503999822773,0.605644499999471,0.5218052999989595,0.14703290001489222,0.07452399999601766,13.648741700002574,0.4497370000171941,0.026097900001332164,True,406,0.7353243492918312,0.0907105189706551,0.0034106862771473576,5.058365758754864,13,257,0.9805560049109922,0.3346885272548039,0.6160817210732101,0.8571428571428571,0.275674250947892,450,0.7353236011063915,0.07723182080761459,0.0025949080792439442,11.673151750972762,30,257,0.992547017573058,0.39778737163213806,0.7368616564383976,1.0,0.5974059636955136,406,0.7142356822701742,0.09427085200627962,0.0018664419522084518,2.7237354085603114,7,257,0.9114866190160699,0.28124986688985004,0.5392043800072756,0.8152709359605911,0.07659956397569494,456,0.7141842910926576,0.07639385978602178,0.0018664419522084518,8.949416342412452,23,257,0.9852383070053534,0.3806774151852993,0.6900927946262956,1.0,0.6191704904169855
250000000.0,395,0.6821972856166656,0.08583053459300538,0.0012921472068320925,12.598425196850394,32,254,0.9910898661726648,0.4046157468894142,0.7309747539402469,0.979746835443038,0.5508666397778614,403,0.6821972856166656,0.08384137263208581,0.0012921472068320925,12.598425196850394,32,254,0.9910898661726636,0.40306869742376183,0.7299422306618366,1.0,0.5508666397778632,40.0,15,270,2197,31,780,363,1.6501394589417435,0.09378356892705655,0.0012921472068320925,14.173228346456693,36,254,0.997145485645471,0.4160891883140812,0.7567054138773048,1.0,363,1.6501394589417435,0.093670846267036,0.0012921472068320925,10.62992125984252,27,254,0.997145485645471,0.4072478418382222,0.7155208256538272,1.0,363,1.4369014987043445,0.0939458892790631,0.0012921472068320925,10.62992125984252,27,254,0.997145485645471,0.41297059071081854,0.7155208256538272,1.0,0.6726865003657404,0.6726865003657404,0.9181829389533289,10,1096,2500,0.15,8.0,256,221,0.0,0.0,363,256,64.0,18.227359872867908,0.0,0.0,34.043435520521534,3,8,2,True,True,128.0,False,0,0,0,0,0,0,0,0,0,0,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,6,30000.0,5000.0,294,0.29266606063881795,0.02566077774677385,0.0012921472068320925,7.480314960629921,19,254,0.9792415615374649,0.5696916335561676,0.8989622155017901,0.7653061224489796,0.5126896092049158,384,1.6704732450542845,0.08896961656501877,0.0012921472068320925,17.322834645669293,44,254,0.9977445949527678,0.43740013012582735,0.7940998115183671,1.0,1.0986124700204778,0.00730360001034569,5.222020800007158,0.5420545999950264,0.45055029999639373,0.5062534999888157,0.13024210000003222,0.11562409999896772,13.37298230000306,0.3778363999881549,0.02519190000020899,True,363,0.6915496840095451,0.103707474025561,0.0017286056472157326,4.724409448818897,12,254,0.8667720994360641,0.3325782544916198,0.5710483178085058,0.8264462809917356,0.07466591178530926,413,0.6915635842675025,0.08201597404722064,0.0012921472068320925,12.204724409448819,31,254,0.9911607529179359,0.38780137937820214,0.7303896705523857,1.0,0.5428566080825002,363,0.8878903169506347,0.10295293440315895,0.0034357113706331498,3.1496062992125986,8,254,0.8419411670656658,0.2574315111097847,0.47513065426237233,0.8126721763085399,0.03751363501361325,420,0.88789222742058,0.08056968378053221,0.0012921472068320925,11.811023622047244,30,254,0.9748859614765096,0.3624902743516112,0.7281065580411485,1.0,0.6233747710583508
250000000.0,389,0.8132015876542881,0.0828059035625102,0.0021254720302361888,15.463917525773196,45,291,0.9736501970296985,0.3870110465025807,0.7657474212057072,0.987146529562982,0.6754998187236192,394,0.8132015876542881,0.08230858086518039,0.0021254720302361888,15.463917525773196,45,291,0.9736501970297033,0.391129808242847,0.7670917644469148,1.0,0.6884792820751674,40.0,23,468,2135,48,827,352,1.9988849759648397,0.09277196647780951,0.0008896353081762715,20.274914089347078,59,291,0.9953937611838148,0.43262830453249784,0.7967647159804417,1.0,352,1.9988849759648397,0.09262935411009326,0.0008896353081762715,14.776632302405499,43,291,0.9953937611838148,0.4174908453807995,0.7540064580998921,1.0,352,1.5110035585797068,0.09301490546093599,0.0008896353081762715,14.776632302405499,43,291,0.9953937611838148,0.4241395630301328,0.7540064580998921,1.0,1.125376436618094,1.125376436618094,1.2205488874210633,10,1065,2500,0.15,8.0,256,214,0.0,0.0,352,256,64.0,17.950100911529574,0.0,0.0,32.65573220018895,3,8,2,True,True,128.0,False,0,0,0,0,0,0,0,0,0,0,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,7,30000.0,5000.0,289,2.5955658734721023,0.03879801155799276,0.0021254720302361888,8.24742268041237,24,291,0.9997175684631682,0.4593252503320677,0.9623323282433861,0.7647058823529411,0.9868218553972337,376,2.5955658734721023,0.08720920018058534,0.0021254720302361888,20.962199312714777,61,291,0.9997175684631682,0.4562899972325864,0.8396828967768986,1.0,1.6691899890331081,0.003682399998069741,6.296846900018863,0.5136957000067923,0.4697695999930147,0.4061022999958368,0.17893159999221098,0.13523759999952745,12.89902379999694,0.42485289998876397,0.023603599998750724,True,352,0.7648516772007792,0.10028172170046303,0.0033158697312747074,7.903780068728523,23,291,0.9824869070706242,0.3376672525495177,0.6594410254081117,0.8181818181818182,0.42820233684893066,400,0.7648496371458122,0.08096286533834811,0.0021254720302361888,15.463917525773196,45,291,0.9860447818284394,0.4003927559491607,0.7785963768107445,1.0,1.0007391731531707,352,0.5875046317654473,0.10208674879428085,0.0035658430645678168,3.4364261168384878,10,291,0.9823927488566905,0.2687996952959727,0.5389619895854645,0.7869318181818182,0.2186338217174267,410,0.5874132548557296,0.07914652502406642,0.0021254720302361888,12.714776632302405,37,291,0.996254797241162,0.37625106278609616,0.7359359754713299,1.0,0.820602145084488
250000000.0,377,0.8360384154151329,0.0859565107754394,0.0009209892911641622,18.548387096774192,46,248,0.963730031250309,0.43633435379457985,0.7923361405639234,0.9787798408488063,0.7633335597000703,385,0.8360384154151329,0.08451188446281915,0.0009209892911641622,19.35483870967742,48,248,0.963730031250309,0.4365928538950138,0.7936398755462322,1.0,0.7917204945135117,40.0,10,263,2111,37,652,355,2.3473311100377234,0.09172700887933834,0.0009209892911641622,17.338709677419356,43,248,0.9991046011663414,0.4458420908314315,0.8018013401068033,1.0,355,2.3473311100377234,0.09157070375810629,0.0009209892911641622,13.709677419354838,34,248,0.9824374990399752,0.4338674631071301,0.7699703268176878,1.0,355,2.138767368607264,0.09183950313652904,0.0009209892911641622,13.709677419354838,34,248,0.9824374990399752,0.4448091189145662,0.7699703268176878,1.0,0.760418939788652,0.760418939788652,0.9664280238372636,10,1053,2500,0.15,8.0,256,187,0.0,0.0,355,256,64.0,17.925413181120874,0.0,0.0,32.56308815216511,3,8,2,True,True,128.0,False,0,0,0,0,0,0,0,0,0,0,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,8,30000.0,5000.0,290,0.18908495490125007,0.027329547148154464,0.0015177402910733096,8.064516129032258,20,248,0.9566688052353977,0.5330500140932795,0.9097053318014244,0.7586206896551724,0.5231679174285869,384,1.9893209490978347,0.08504099103996511,0.0015177402910733096,23.387096774193548,58,248,0.9922103704356756,0.45630938883035993,0.8596913159794448,1.0,1.4903745692571664,0.00508560000162106,3.6376885999925435,0.29841960001795087,0.2516345000040019,0.35438950001844205,0.06753290000779089,0.06203579998691566,8.604723500000546,0.24400610000884626,0.023942200001329184,True,355,0.6222548515950589,0.09979319163567558,0.0015177402910733096,6.048387096774194,15,248,0.8776382584549361,0.36032935746430994,0.6528578384162507,0.8366197183098592,0.12645728727565375,397,0.6225905598813262,0.08153135808297403,0.0009209892911641622,17.741935483870968,44,248,0.9615220173654289,0.41677125901644846,0.7780882641734698,1.0,0.7758703745501303,355,0.6018491013832004,0.10066271055471375,0.00361235323305786,2.0161290322580645,5,248,0.9728863187806875,0.2683688363704083,0.5032111545734053,0.8056338028169014,0.14974649350138008,402,0.6019780839863184,0.08053939380662424,0.0015065779962221192,11.290322580645162,28,248,0.9899197481477444,0.3693504639167649,0.730680170188331,1.0,0.6792495280234486
250000000.0,473,0.4749542477496377,0.0679219926233798,0.0015232716886819627,18.48739495798319,44,238,0.998226497726909,0.4644682482220269,0.8038181489938396,0.9957716701902748,1.0887526592438053,475,0.4749542477496377,0.06765540302353956,0.0015232716886819627,18.48739495798319,44,238,0.998226497726909,0.463833179741653,0.8024330033582641,1.0,1.0801960235387829,40.0,27,446,5065,62,1564,419,1.0637461266102397,0.07718430000962731,0.0017675097721542084,23.529411764705884,56,238,0.9850523010013932,0.4572128691325398,0.8175562580246508,1.0,419,1.0637461266102397,0.07698096699727694,0.0017675097721542084,15.966386554621849,38,238,0.9631733508616013,0.4341019397726822,0.771121768771353,1.0,419,0.8936979708351628,0.07726902174378883,0.0017675097721542084,15.966386554621849,38,238,0.9631733508616013,0.43973651356133364,0.771121768771353,1.0,0.6323287798208497,0.6323287798208497,1.2001937868979962,10,2527,2500,0.15,8.0,256,254,0.0,0.0,419,256,64.0,17.941676622572487,0.0,0.0,32.340221704033844,3,8,2,True,True,128.0,False,1,1,0,0,2,2,0,0,0,0,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,9,30000.0,5000.0,319,0.47239792199341274,0.029886135331431776,0.00190632877629076,7.563025210084033,18,238,0.998226497726909,0.49616693641603293,0.9292109893976269,0.7366771159874608,0.6150119683684454,424,0.9438633870110373,0.07637561308964917,0.00190632877629076,20.58823529411765,49,238,0.998226497726909,0.47323031686722383,0.8237171359496102,1.0,1.3177875292653747,0.0015090000088093802,4.663957199998549,0.33153400001174305,0.37790659999882337,0.3003704000147991,0.11207909999939147,0.11007809999864548,8.194943100010278,0.5750958999851719,0.018677200001548044,True,419,0.6055851645548799,0.07943052405612656,0.00190632877629076,5.46218487394958,13,238,0.9631449457720752,0.3469802753606333,0.6143263966354141,0.8711217183770883,0.2646344309377734,457,0.6056156049231547,0.07032689224699136,0.00190632877629076,15.546218487394958,37,238,0.998226497726909,0.4170133577871803,0.7517447548504258,1.0,0.6894309949817345,419,0.5386902414342568,0.0808621806903823,0.0015232716886819627,4.201680672268908,10,238,0.8928146243179955,0.2707474887195565,0.5523001970919993,0.8281622911694511,0.1438977052569645,470,0.538617647580397,0.06811005177416823,0.0015232716886819627,12.605042016806722,30,238,0.998226497726909,0.3838997246792897,0.7355936553270901,1.0,0.5849228634454767
250000000.0,397,0.6758921254675524,0.07811522919619988,0.00171126845689251,20.338983050847457,48,236,0.962713381253167,0.46964066390755843,0.822713106406142,0.9848866498740554,1.0651974855399586,403,0.6758921254675524,0.07719491201399535,0.00171126845689251,19.915254237288135,47,236,0.9627133812531681,0.46599286848694565,0.8165221574562779,1.0,1.0446064506842976,40.0,24,441,2227,44,884,369,1.1572109143111757,0.08442214912838726,0.00171126845689251,23.305084745762713,55,236,0.986040476008796,0.46277246335801836,0.8424640288610127,1.0,369,1.1307230927556888,0.08430597447461466,0.00171126845689251,17.372881355932204,41,236,0.986040476008796,0.44231227002886114,0.7950265886686927,1.0,369,0.789299247795004,0.08462885200441328,0.00171126845689251,17.372881355932204,41,236,0.986040476008796,0.44662309659651445,0.7950265886686927,1.0,1.127870597032528,1.127870597032528,1.5329295628339432,10,1111,2500,0.15,8.0,256,249,0.0,0.0,369,256,64.0,18.76861034587327,0.0,0.0,31.151773028374894,3,8,2,True,True,128.0,False,0,0,0,0,0,0,0,0,0,0,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,10,30000.0,5000.0,296,0.19017733971644415,0.028409037651770323,0.002355342919899743,8.898305084745763,21,236,0.9883675989655546,0.5258478631229738,0.9522002754419078,0.7297297297297297,0.8273868267695559,397,1.1169443001651942,0.07854187860828937,0.002355342919899743,21.610169491525422,51,236,0.9983931285088794,0.47794946585725523,0.807919598315783,1.0,1.3377608429881342,0.0032359000033466145,3.913071699993452,0.31836539998766966,0.30820739999762736,0.2751314000051934,0.10330790000443812,0.07246860000304878,7.845185600002878,0.2493393000040669,0.02369479999470059,True,369,0.5165671897692282,0.08905826226965113,0.0023553429199042173,6.779661016949152,16,236,0.9656533886843386,0.3491879323494733,0.6428204776913771,0.8401084010840109,0.3216628919685803,417,0.5166034700257378,0.07409993345276428,0.002355342919899743,17.372881355932204,41,236,0.9896765192333106,0.4242241641422977,0.8063612730255755,1.0,1.19271369834979,369,0.5652218254356303,0.09051284528749069,0.0023553429199042173,1.694915254237288,4,236,0.9549538893818155,0.245881321226678,0.4831846048838821,0.8184281842818428,0.068465499496006,416,0.5650605908415649,0.0740455689393949,0.002355342919899743,11.016949152542374,26,236,0.9904560579092133,0.3772723814824712,0.7117055305685727,1.0,0.7268383864650348
