metric,n_users,series,mean,std,min,max,n
K,900,Heuristic,119.4,16.316862443496913,99.0,146.0,5
K,900,MILP,96.6,7.812809993849844,88.0,109.0,5
K,1000,Heuristic,128.6,16.426807358704856,112.0,159.0,5
K,1000,MILP,2487.8,4778.604582930042,89.0,12045.0,5
K,1500,Heuristic,145.6,16.475436261295176,130.0,175.0,5
K,1500,MILP,4673.2,5772.427336918153,102.0,13808.0,5
K,2000,Heuristic,162.2,19.3121723273173,144.0,198.0,5
K,2000,MILP,10154.2,5591.748792640814,124.0,17252.0,5
K,2500,Heuristic,180.4,23.74531532744933,161.0,227.0,5
K,2500,MILP,11103.2,6168.90899268258,132.0,18537.0,5
K,3000,Heuristic,191.8,23.249946236496978,177.0,238.0,5
K,3000,MILP,11557.6,6384.359156563797,134.0,19104.0,5
K,3500,Heuristic,224.0,65.86045854683977,183.0,355.0,5
K,3500,MILP,5577.4,6849.958849511433,139.0,16294.0,5
K,4000,Heuristic,231.4,69.17687474871931,182.0,368.0,5
K,4000,MILP,12483.2,6860.2972646963335,144.0,20467.0,5
K,4500,Heuristic,253.2,72.85986549534661,189.0,382.0,5
K,4500,MILP,15255.4,3081.622923071543,11874.0,20764.0,5
K,5000,Heuristic,256.4,74.1015519405633,187.0,385.0,5
K,5000,MILP,15613.6,3262.2778299832157,12051.0,21102.0,5
used_sats,50,Heuristic,1.0,0.0,1.0,1.0,5
used_sats,50,MILP,1.2,0.4,1.0,2.0,5
used_sats,75,Heuristic,1.0,0.0,1.0,1.0,5
used_sats,75,MILP,1.2,0.4,1.0,2.0,5
used_sats,100,Heuristic,1.0,0.0,1.0,1.0,5
used_sats,100,MILP,1.2,0.4,1.0,2.0,5
used_sats,125,Heuristic,1.0,0.0,1.0,1.0,5
used_sats,125,MILP,1.2,0.4,1.0,2.0,5
used_sats,150,Heuristic,1.0,0.0,1.0,1.0,5
used_sats,150,MILP,1.2,0.4,1.0,2.0,5
used_sats,175,Heuristic,1.0,0.0,1.0,1.0,5
used_sats,175,MILP,1.4,0.4898979485566356,1.0,2.0,5
used_sats,200,Heuristic,1.0,0.0,1.0,1.0,5
used_sats,200,MILP,1.2,0.4,1.0,2.0,5
used_sats,300,Heuristic,1.0,0.0,1.0,1.0,5
used_sats,300,MILP,1.2,0.4,1.0,2.0,5
used_sats,400,Heuristic,1.0,0.0,1.0,1.0,5
used_sats,400,MILP,1.2,0.4,1.0,2.0,5
used_sats,500,Heuristic,1.0,0.0,1.0,1.0,5
used_sats,500,MILP,1.2,0.4,1.0,2.0,5
used_sats,600,Heuristic,1.0,0.0,1.0,1.0,5
used_sats,600,MILP,1.2,0.4,1.0,2.0,5
used_sats,700,Heuristic,1.0,0.0,1.0,1.0,5
used_sats,700,MILP,1.2,0.4,1.0,2.0,5
used_sats,800,Heuristic,1.0,0.0,1.0,1.0,5
used_sats,800,MILP,25.8,49.101527471149,1.0,124.0,5
used_sats,900,Heuristic,1.0,0.0,1.0,1.0,5
used_sats,900,MILP,1.2,0.4,1.0,2.0,5
used_sats,1000,Heuristic,1.0,0.0,1.0,1.0,5
used_sats,1000,MILP,25.8,49.101527471149,1.0,124.0,5
used_sats,1500,Heuristic,1.0,0.0,1.0,1.0,5
used_sats,1500,MILP,43.0,52.35647046927438,1.0,124.0,5
used_sats,2000,Heuristic,1.0,0.0,1.0,1.0,5
used_sats,2000,MILP,79.6,40.15270850141992,1.0,110.0,5
used_sats,2500,Heuristic,1.0,0.0,1.0,1.0,5
used_sats,2500,MILP,84.0,42.619244479460214,1.0,116.0,5
used_sats,3000,Heuristic,1.0,0.0,1.0,1.0,5
used_sats,3000,MILP,82.4,41.90751722543344,1.0,116.0,5
used_sats,3500,Heuristic,1.2,0.4,1.0,2.0,5
used_sats,3500,MILP,43.0,52.35647046927438,1.0,124.0,5
used_sats,4000,Heuristic,1.2,0.4,1.0,2.0,5
used_sats,4000,MILP,85.6,43.92083787907512,1.0,124.0,5
used_sats,4500,Heuristic,1.8,0.4,1.0,2.0,5
used_sats,4500,MILP,101.4,12.109500402576483,87.0,116.0,5
used_sats,5000,Heuristic,2.0,0.0,2.0,2.0,5
used_sats,5000,MILP,103.2,14.5657131648265,87.0,125.0,5
Umax_or_peak_load,50,Heuristic,0.13265658988731227,0.055470042917324255,0.07655851089362051,0.22690442087106028,5
Umax_or_peak_load,50,MILP,0.12496900290764265,0.05380222242840658,0.0848323013530449,0.22560895764586558,5
Umax_or_peak_load,75,Heuristic,0.11320298744468019,0.021806276879979377,0.08211606915938341,0.14842653579363435,5
Umax_or_peak_load,75,MILP,0.1684254979600009,0.09335825198814642,0.07118213078708732,0.3143247646336826,5
Umax_or_peak_load,100,Heuristic,0.11780632944342387,0.021371268405052803,0.09703966149756679,0.15471670524077713,5
Umax_or_peak_load,100,MILP,0.1742572766546905,0.008007073343636376,0.16505837311735067,0.18650970731879477,5
Umax_or_peak_load,125,Heuristic,0.1603775391113207,0.03978245769379096,0.10517971790965477,0.22932171064780674,5
Umax_or_peak_load,125,MILP,0.23933949427543663,0.05496952654145568,0.1765867342920211,0.3189242115281519,5
Umax_or_peak_load,150,Heuristic,0.13936807562938616,0.02393084059332959,0.11058234373172512,0.18304193621558734,5
Umax_or_peak_load,150,MILP,0.20411181730730804,0.03301927860853243,0.17623824666802768,0.26805198503627065,5
Umax_or_peak_load,175,Heuristic,0.1395627967511302,0.012473845064994995,0.12803549658948954,0.16059928879106397,5
Umax_or_peak_load,175,MILP,0.21465903857691876,0.05639284832878011,0.1601361646231916,0.32173499122863985,5
Umax_or_peak_load,200,Heuristic,0.14548740826830694,0.03482820470526673,0.10246659005761159,0.1865144060548341,5
Umax_or_peak_load,200,MILP,0.28564219988330836,0.04650650925500446,0.21068031038350024,0.34078645847736094,5
Umax_or_peak_load,300,Heuristic,0.20876577537560773,0.03160982457448054,0.1521399503138771,0.24522813347538103,5
Umax_or_peak_load,300,MILP,0.4136222546197149,0.05959605873633305,0.35444106837911515,0.524714707575888,5
Umax_or_peak_load,400,Heuristic,0.22400194791930633,0.04709600826827246,0.1558988598055834,0.2992357628522232,5
Umax_or_peak_load,400,MILP,0.5082094739884543,0.10122598143275334,0.39409158947919704,0.6661862580684613,5
Umax_or_peak_load,500,Heuristic,0.28495390176960445,0.11493228143116105,0.18357500749120642,0.4959410155999617,5
Umax_or_peak_load,500,MILP,0.6851918233668192,0.2821675739392685,0.4005144679516029,1.2222531697798718,5
Umax_or_peak_load,600,Heuristic,0.2533954764282266,0.026462950797704932,0.22156267924182477,0.2927112472373826,5
Umax_or_peak_load,600,MILP,0.7650135678223394,0.2572515094521178,0.4170137151243891,1.161195903437348,5
Umax_or_peak_load,700,Heuristic,0.2736134675356492,0.02767899478859822,0.23431332412099884,0.3084997750558252,5
Umax_or_peak_load,700,MILP,0.8177287457328231,0.22957634078541375,0.5441472642062265,1.116929242716533,5
Umax_or_peak_load,800,Heuristic,0.34815158331877905,0.1365930389190697,0.2431024864256278,0.6118614619278707,5
Umax_or_peak_load,800,MILP,1.0412341673288845,0.2810286940088746,0.5375220545261642,1.3544232080747043,5
Umax_or_peak_load,900,Heuristic,0.30529698330218336,0.07361032390111835,0.19245243399648548,0.4201957314008509,5
Umax_or_peak_load,900,MILP,1.0474002989183195,0.31124186775138135,0.6536082443487786,1.5612460588442405,5
Umax_or_peak_load,1000,Heuristic,0.37010264135770604,0.08871510356652508,0.2912800694428246,0.5399743373399852,5
Umax_or_peak_load,1000,MILP,1.0963258405505996,0.2506853196489775,0.6760751353092118,1.3840093799154733,5
Umax_or_peak_load,1500,Heuristic,0.5647728111321527,0.08812742453264168,0.415010166448497,0.6907250549624173,5
Umax_or_peak_load,1500,MILP,1.733747246601353,0.36956275546303613,1.4241804717299738,2.312156505361328,5
Umax_or_peak_load,2000,Heuristic,0.76382301184277,0.2602901674498536,0.44123779701208987,1.0423731484762724,5
Umax_or_peak_load,2000,MILP,1.851303554775745,0.6907706892040975,0.9098416894061537,2.5186235131158203,5
Umax_or_peak_load,2500,Heuristic,0.816739177898598,0.3080503515144583,0.635932206459388,1.431422906216785,5
Umax_or_peak_load,2500,MILP,2.1648241807634028,0.5365715845109054,1.297451529325917,2.876016020373538,5
Umax_or_peak_load,3000,Heuristic,0.8165231952505783,0.268500825610722,0.5287877455160886,1.1815854573361104,5
Umax_or_peak_load,3000,MILP,2.7537852248377863,0.9297972006629259,1.3345190149971173,3.7785330300080417,5
Umax_or_peak_load,3500,Heuristic,1.160792470105954,0.4370718374861115,0.7092074250955522,1.7092937022387624,5
Umax_or_peak_load,3500,MILP,3.7162759810886596,0.8334882544534871,2.691480529350729,4.653200736458855,5
Umax_or_peak_load,4000,Heuristic,1.5305829804869133,0.6154536914185489,0.6463693536966265,2.374736491625943,5
