bandwidth_hz,bk_fixed_K,bk_fixed_U_max,bk_fixed_U_mean,bk_fixed_U_min,bk_fixed_ent_edge_pct,bk_fixed_ent_exposed,bk_fixed_ent_total,bk_fixed_ent_z_max,bk_fixed_ent_z_mean,bk_fixed_ent_z_p90,bk_fixed_feasible_rate,bk_fixed_risk_sum,bk_rep_K,bk_rep_U_max,bk_rep_U_mean,bk_rep_U_min,bk_rep_ent_edge_pct,bk_rep_ent_exposed,bk_rep_ent_total,bk_rep_ent_z_max,bk_rep_ent_z_mean,bk_rep_ent_z_p90,bk_rep_feasible_rate,bk_rep_risk_sum,eirp_dbw,ent_moves_accepted,ent_moves_tried,eval_calls,lb_moves_accepted,lb_moves_tried,main_K,main_U_max,main_U_mean,main_U_min,main_ent_edge_pct,main_ent_exposed,main_ent_total,main_ent_z_max,main_ent_z_mean,main_ent_z_p90,main_feasible_rate,main_ref_K,main_ref_U_max,main_ref_U_mean,main_ref_U_min,main_ref_ent_edge_pct,main_ref_ent_exposed,main_ref_ent_total,main_ref_ent_z_max,main_ref_ent_z_mean,main_ref_ent_z_p90,main_ref_feasible_rate,main_ref_lb_K,main_ref_lb_U_max,main_ref_lb_U_mean,main_ref_lb_U_min,main_ref_lb_ent_edge_pct,main_ref_lb_ent_exposed,main_ref_lb_ent_total,main_ref_lb_ent_z_max,main_ref_lb_ent_z_mean,main_ref_lb_ent_z_p90,main_ref_lb_feasible_rate,main_ref_lb_risk_sum,main_ref_risk_sum,main_risk_sum,n_hotspots,n_splits,n_users,noise_frac,payload_J_lanes,payload_T_max,payload_T_sum,payload_best_m,payload_enabled,payload_feasible,payload_global_cap,payload_global_impossible,payload_n_viol,radius_modes_km,region_mode,rho_safe,seed,sigma_max,sigma_min,tgbp_fixed_K,tgbp_fixed_U_max,tgbp_fixed_U_mean,tgbp_fixed_U_min,tgbp_fixed_ent_edge_pct,tgbp_fixed_ent_exposed,tgbp_fixed_ent_total,tgbp_fixed_ent_z_max,tgbp_fixed_ent_z_mean,tgbp_fixed_ent_z_p90,tgbp_fixed_feasible_rate,tgbp_fixed_risk_sum,tgbp_rep_K,tgbp_rep_U_max,tgbp_rep_U_mean,tgbp_rep_U_min,tgbp_rep_ent_edge_pct,tgbp_rep_ent_exposed,tgbp_rep_ent_total,tgbp_rep_ent_z_max,tgbp_rep_ent_z_mean,tgbp_rep_ent_z_p90,tgbp_rep_feasible_rate,tgbp_rep_risk_sum,time_assoc_s,time_baseline_bkmeans_s,time_baseline_tgbp_s,time_baseline_with_qos_s,time_baseline_without_qos_s,time_ent_ref_s,time_lb_ref_s,time_sat_select_s,time_split_s,time_usergen_s,use_hotspots,wk_demand_fixed_K,wk_demand_fixed_U_max,wk_demand_fixed_U_mean,wk_demand_fixed_U_min,wk_demand_fixed_ent_edge_pct,wk_demand_fixed_ent_exposed,wk_demand_fixed_ent_total,wk_demand_fixed_ent_z_max,wk_demand_fixed_ent_z_mean,wk_demand_fixed_ent_z_p90,wk_demand_fixed_feasible_rate,wk_demand_fixed_risk_sum,wk_demand_rep_K,wk_demand_rep_U_max,wk_demand_rep_U_mean,wk_demand_rep_U_min,wk_demand_rep_ent_edge_pct,wk_demand_rep_ent_exposed,wk_demand_rep_ent_total,wk_demand_rep_ent_z_max,wk_demand_rep_ent_z_mean,wk_demand_rep_ent_z_p90,wk_demand_rep_feasible_rate,wk_demand_rep_risk_sum,wk_qos_fixed_K,wk_qos_fixed_U_max,wk_qos_fixed_U_mean,wk_qos_fixed_U_min,wk_qos_fixed_ent_edge_pct,wk_qos_fixed_ent_exposed,wk_qos_fixed_ent_total,wk_qos_fixed_ent_z_max,wk_qos_fixed_ent_z_mean,wk_qos_fixed_ent_z_p90,wk_qos_fixed_feasible_rate,wk_qos_fixed_risk_sum,wk_qos_rep_K,wk_qos_rep_U_max,wk_qos_rep_U_mean,wk_qos_rep_U_min,wk_qos_rep_ent_edge_pct,wk_qos_rep_ent_exposed,wk_qos_rep_ent_total,wk_qos_rep_ent_z_max,wk_qos_rep_ent_z_mean,wk_qos_rep_ent_z_p90,wk_qos_rep_feasible_rate,wk_qos_rep_risk_sum
250000000.0,230,0.41234974418221504,0.06144409779689492,0.002314201273364777,22.33009708737864,23,103,0.9976798995689062,0.46568946912362447,0.8489713925971871,0.9739130434782609,0.6312644471844788,236,0.41234974418221504,0.06098903717949157,0.002314201273364777,23.300970873786408,24,103,0.9976798995689062,0.4670865060860865,0.8433697407147898,1.0,0.6365034817471742,40.0,11,272,918,25,868,230,0.45119486567002426,0.06321944423768734,0.002314201273364777,26.21359223300971,27,103,0.9823202742521061,0.4646561310048074,0.8137993754128374,1.0,230,0.45119486567002426,0.06314452990788026,0.002314201273364777,18.446601941747574,19,103,0.9823202742521061,0.44962812393694296,0.7851608722349126,1.0,230,0.2924775217911146,0.06328343062097565,0.002314201273364777,18.446601941747574,19,103,0.9823202742521061,0.4563622460568291,0.7851608722349126,1.0,0.2854836703804574,0.2854836703804574,0.46613287098265466,10,458,1000,0.15,16.0,14.540472174668087,14.540472174668087,1,True,True,16.0,False,0,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,1,30000.0,5000.0,188,0.22184923946770072,0.028671961217958515,0.002314201273364777,11.650485436893204,12,103,0.9823202742521061,0.5170081911048275,0.9381864650359816,0.7446808510638298,0.4571620418844772,244,0.615709190369424,0.06002622660435497,0.00226182303505289,33.00970873786408,34,103,0.9889411589756595,0.5346055791206213,0.9228150549598306,1.0,1.2121263208669817,0.0006909000221639872,4.020006500068121,0.2953749999869615,0.24077600007876754,0.2201363000785932,0.11982619995251298,0.104913100018166,13.270630500046536,0.17621990002226084,0.008457200019620359,True,230,0.4330684660506532,0.059790065193373154,0.002314201273364777,6.796116504854369,7,103,0.9705707612441401,0.33197142969233634,0.6722055148676757,0.8826086956521739,0.20735249542231116,252,0.4331136968578455,0.05686852171770767,0.002314201273364777,16.50485436893204,17,103,0.9823202742521061,0.42432352404741175,0.8061596500825322,1.0,0.4723314434083985,230,0.41297548732140305,0.06099195322494715,0.0024736896442580586,2.912621359223301,3,103,0.8553830828607221,0.22450458882047136,0.5408789801350764,0.8652173913043478,0.051493317142159115,258,0.41285191608243177,0.05568307024802628,0.002314201273364777,11.650485436893204,12,103,0.913060526791531,0.3770909790333207,0.7251956123470604,1.0,0.21068012131701536
250000000.0,218,0.3522024435463924,0.06444909687954499,0.0010230030938148545,19.444444444444443,21,108,0.9944044370426802,0.4392342756681895,0.8162008772428215,0.981651376146789,0.4854629811251449,222,0.3522024435463924,0.06330203491139993,0.0010230030938148545,19.444444444444443,21,108,0.9944044370426726,0.43814431098865037,0.8140294334247224,1.0,0.42506891481438147,40.0,9,280,850,1,63,213,0.607301165330376,0.06632707257132132,0.0010230030938148545,25.925925925925927,28,108,0.9962832449481772,0.4578732847989815,0.8322938939337207,1.0,213,0.607301165330376,0.06610501135268254,0.0010230030938148545,20.37037037037037,22,108,0.9944044370426726,0.44586128101836153,0.8230741811578192,1.0,213,0.5975915162924893,0.06611481183383282,0.0010230030938148545,20.37037037037037,22,108,0.9944044370426726,0.44586128101836153,0.8230741811578192,1.0,0.596919052163419,0.596919052163419,0.6445458844054881,10,424,1000,0.15,16.0,14.127666457691442,14.127666457691442,1,True,True,16.0,False,0,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,2,30000.0,5000.0,167,0.1485551739666668,0.025946891940608587,0.0010230030938148545,12.037037037037036,13,108,0.9817498966696643,0.4630205301022918,0.9333013586362876,0.7365269461077845,0.4033893186918113,221,0.6776595163829753,0.0642429805051518,0.0010230030938148545,27.77777777777778,30,108,0.9817498966696643,0.49178374560000104,0.9026409298494105,1.0,0.8832946685236835,0.0007677000248804688,2.8752507000463083,0.2758255999069661,0.2165548000484705,0.22771699994336814,0.12689030007459223,0.03598709998186678,13.2348261999432,0.14538020000327379,0.014061299967579544,True,213,0.391368956406746,0.0633893083653469,0.0028030867211124287,8.333333333333334,9,108,0.9540106309886509,0.35770953049562704,0.6942986745054998,0.8497652582159625,0.13364055501111918,237,0.3914849911148224,0.05913633634052528,0.0010230030938148545,19.444444444444443,21,108,0.9764670813462666,0.4225360712544057,0.8198316069102078,1.0,0.5144823240232093,213,0.29457194468986136,0.06510493639894906,0.0030736951739430258,2.7777777777777777,3,108,0.8716470822166849,0.21570944084282134,0.5007848508346153,0.8215962441314554,0.056019249431480594,244,0.2948049087421295,0.05736908031413651,0.0010230030938148545,15.74074074074074,17,108,0.9587227883949704,0.3497060876636726,0.8083191050907883,1.0,0.40675760373407577
250000000.0,234,0.650974632635921,0.05547676318285516,0.0017166455072305728,23.91304347826087,22,92,0.9730333888987349,0.4455845642453606,0.805737346975249,0.9829059829059829,0.45477262709484434,238,0.650974632635921,0.05565200893255832,0.0017166455072305728,26.08695652173913,24,92,0.9846317474743194,0.45087330413934185,0.8146562309451257,1.0,0.5373622043350632,40.0,6,114,902,0,0,226,0.9754077645714992,0.059047400626859974,0.0017166455072305728,26.08695652173913,24,92,0.9966038092612952,0.4530842720202443,0.8272980746161799,1.0,226,0.9754077645714992,0.05890609408644895,0.0017166455072305728,19.565217391304348,18,92,0.9966038092612952,0.43521367940801564,0.8056309023957593,1.0,226,0.9754077645714992,0.05890609408644895,0.0017166455072305728,19.565217391304348,18,92,0.9966038092612952,0.43521367940801564,0.8056309023957593,1.0,0.5225890992875892,0.5225890992875892,0.611247056010636,10,450,1000,0.15,16.0,13.344712541670354,13.344712541670354,1,True,True,16.0,False,0,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,3,30000.0,5000.0,184,1.124790087442169,0.040955515677154476,0.0017166455072305728,19.565217391304348,18,92,0.9966991361529922,0.5224072176665264,0.9852756887943854,0.782608695652174,0.9912815805150222,236,0.9754077645715103,0.05710935968680852,0.0017166455072305728,35.869565217391305,33,92,0.9966991361529922,0.5258588747159463,0.9460549776646554,1.0,1.224059794921298,0.0007462999783456326,3.25128140009474,0.28459030005615205,0.21170169999822974,0.24278700002469122,0.06201949995011091,0.02754589996766299,13.343945799977519,0.17723829997703433,0.009623500052839518,True,226,0.6736716194777145,0.05862104746554015,0.0017166455072305728,11.956521739130435,11,92,0.9637378143661641,0.3798386722837345,0.7748392617228201,0.8938053097345132,0.40234290053995514,244,0.6737043448239972,0.054187842386927906,0.0017166455072305728,16.304347826086957,15,92,0.9730333888987341,0.4233114430450819,0.7619970622470226,1.0,0.3337858531744573,226,0.530389722694402,0.058136747413757024,0.0017166455072305728,1.0869565217391304,1,92,0.8325159075933,0.21066249504469026,0.47520879868147775,0.8451327433628318,0.017560465765276027,250,0.5299183772355855,0.05271234257497423,0.0017166455072305728,16.304347826086957,15,92,0.9634338444935953,0.387389431538303,0.7627542053546338,1.0,0.33363955386439015
250000000.0,233,0.3785526427269253,0.0605271852414354,0.0024593771907247593,14.285714285714286,16,112,0.9969970455119717,0.4250517188726193,0.7787943628480254,0.9613733905579399,0.493032654486783,242,0.40885500955303844,0.06245428996704476,0.0024593771907247593,16.071428571428573,18,112,0.9969970455119678,0.4269447178949561,0.7702122174468516,1.0,0.4931540977129525,40.0,9,243,870,5,79,218,0.8593110665945303,0.07026598776526875,0.0023514348294988658,23.214285714285715,26,112,0.9907458401515447,0.4628856687910898,0.8373779650527651,1.0,218,0.8274693485373197,0.06996371808098496,0.0023514348294988658,18.75,21,112,0.944334307626534,0.4400935282339639,0.8094604161567875,1.0,218,0.6916326234885704,0.07004639879787937,0.0023514348294988658,18.75,21,112,0.944334307626534,0.4400935282339639,0.8094604161567875,1.0,0.38451634811010205,0.38451634811010205,0.6132600500546834,10,434,1000,0.15,16.0,15.317985332828588,15.317985332828588,1,True,True,16.0,False,0,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,4,30000.0,5000.0,182,0.2457843524685212,0.027538258354860595,0.0024593771907247593,8.928571428571429,10,112,0.9954653568765612,0.4596753200179931,0.9522048655721098,0.7472527472527473,0.357789519723283,237,0.789817145401718,0.06458257129736454,0.0024593771907247593,29.464285714285715,33,112,0.9954653568765612,0.4988750791229232,0.8805014040235635,1.0,0.8759798583062957,0.0006170999258756638,3.2271661999402568,0.4630381999304518,0.19022700004279613,0.23732970003038645,0.10852669994346797,0.04063340008724481,13.359884499921463,0.15464959992095828,0.00983950006775558,True,218,0.36167956659070866,0.06752864450053395,0.0024593771907247593,11.607142857142858,13,112,0.9982094187073881,0.3700664157362723,0.7539881061501608,0.8532110091743119,0.30849131589083423,244,0.3637080411012253,0.061887110129952565,0.0024593771907247593,18.75,21,112,0.9988407617249286,0.4160394345461228,0.8245365971554679,1.0,0.5973061525012056,218,0.3742693598798528,0.06469531700336104,0.0024593771907247593,0.8928571428571429,1,112,0.8619819644153284,0.22292817934605835,0.47794597059313826,0.8165137614678899,0.026238156795848722,244,0.3740956943818769,0.061629499979317826,0.0024593771907247593,16.964285714285715,19,112,0.9817563659501242,0.38938210141700713,0.8252025451760377,1.0,0.565268874054731
250000000.0,219,0.40341024006041254,0.060896026845216104,0.0017714306832794847,19.148936170212767,18,94,0.9998156845605032,0.4470406249144513,0.876608945331372,0.9771689497716894,0.6735707483403056,224,0.40341024006041254,0.05955822020894996,0.0017714306832794847,21.27659574468085,20,94,0.999815684560504,0.4516036221688838,0.8793397706927853,1.0,0.7098852562955373,40.0,13,229,850,49,674,213,0.9125893478414414,0.063284881433557,0.0017714306832794847,26.595744680851062,25,94,0.9661723795688155,0.5086369132678207,0.889117927078639,1.0,213,0.9125893478414414,0.06318772605750854,0.0017714306832794847,18.085106382978722,17,94,0.9549456914458012,0.48236283395760854,0.8100603568546693,1.0,213,0.3865435529379243,0.06358469491936168,0.0017714306832794847,18.085106382978722,17,94,0.9549456914458012,0.48595525112530924,0.8100603568546693,1.0,0.4048281885163434,0.4048281885163434,0.7110672048027564,10,424,1000,0.15,16.0,13.47967974534764,13.47967974534764,1,True,True,16.0,False,0,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,5,30000.0,5000.0,180,0.14692764045696857,0.026258174143186506,0.0017714306832794847,11.702127659574469,11,94,0.9624909991961633,0.5234537516791068,0.9494829740512073,0.7277777777777777,0.37092914693160495,238,0.7665816078515482,0.056679717476928515,0.0017714306832794847,30.851063829787233,29,94,0.981607326915037,0.5141594665631102,0.8793825193081716,1.0,0.7427701990775262,0.000713299959897995,3.8510225999634713,0.27738929993938655,0.1935139000415802,0.27311680000275373,0.10050459997728467,0.10716200002934784,13.292689200025052,0.1583797000348568,0.009456600062549114,True,213,0.3808384355411932,0.06102929483071128,0.0032023908792834965,8.51063829787234,8,94,0.7875637833298896,0.36411240431023156,0.6836652084761017,0.8685446009389671,0.022152587223007655,240,0.38100424000309424,0.05568181525525348,0.0017714306832794847,19.148936170212767,18,94,0.9956596132899894,0.46495329208503955,0.8468651123216338,1.0,0.5483312015971998,213,0.4663258952274484,0.06378911572541238,0.0017714306832794847,1.0638297872340425,1,94,0.8062188710323352,0.19710262712807122,0.4095192578003401,0.8262910798122066,0.011282448563383878,242,0.45403809597125777,0.05467826060752323,0.0017714306832794847,8.51063829787234,8,94,0.9963964122167108,0.3431824828425503,0.6684221045912865,1.0,0.2303865951991022
250000000.0,427,0.6704317586597548,0.07116502980573111,0.0017275054304700613,19.62962962962963,53,270,0.9860296762208297,0.4775262853727646,0.796549185159379,0.9789227166276346,0.8980722265105133,436,0.6704317586597548,0.07118543938420936,0.0017275054304700613,19.62962962962963,53,270,0.9860296762208297,0.47292244084189977,0.7917559802202995,1.0,0.8980722265105096,40.0,25,351,3359,129,3241,423,0.9858336862109845,0.07347777423114571,0.0015685161377132603,19.25925925925926,52,270,0.9941493840398324,0.45307403030072674,0.8283810324247443,1.0,423,0.9858336862109845,0.0732581780899288,0.0015685161377132603,13.703703703703704,37,270,0.9941493840398324,0.4322184570349391,0.7375280437812617,1.0,423,0.5755332638809751,0.07369351921303956,0.0015685161377132603,13.703703703703704,37,270,0.9941493840398324,0.4430310039752493,0.7375280437812617,1.0,0.8506651213694495,0.8506651213694495,1.5148285538854513,10,1675,2500,0.15,16.0,10.8489650704135,31.081098499774637,3,True,True,48.0,False,0,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,1,30000.0,5000.0,322,0.1317977993055128,0.023226168075641148,0.0017275054304700613,9.25925925925926,25,270,0.9947707603266017,0.6538427602078712,0.9413758724780743,0.7018633540372671,0.8201424359885676,446,0.9038447556382743,0.07011033020016341,0.0017275054304700613,24.814814814814813,67,270,0.9956140798200348,0.4957980574224204,0.8540744147156243,1.0,1.8853256177155968,0.007762199966236949,7.233368500019424,0.7487112999660894,0.426746099954471,0.48307720001321286,0.16058230004273355,0.3748101001838222,13.380712199956179,0.6170797999948263,0.02416479995008558,True,423,0.3850289130928276,0.07635025293759279,0.0025588344132995307,6.666666666666667,18,270,0.9841233322847773,0.35325852955181203,0.6263174876011659,0.8534278959810875,0.3965669695363302,473,0.3852868355688628,0.0650351633945252,0.0017275054304700613,14.074074074074074,38,270,0.9940582306723944,0.4170048769168536,0.7541476133417334,1.0,0.9065010685925645,423,0.5459462232148337,0.07679320815789575,0.0017275054304700613,2.2222222222222223,6,270,0.8940865059392249,0.2567768166423087,0.49702486607820473,0.806146572104019,0.06845808817566362,483,0.5463673354940081,0.06369979564694388,0.0017275054304700613,11.11111111111111,30,270,0.9968268084539793,0.3732226547746257,0.7067405797400697,1.0,0.704169300120678
250000000.0,394,0.860553988188115,0.08182560436642175,0.0020125136934903832,15.810276679841897,40,253,0.9420858900002443,0.44730679998630524,0.788415975228459,0.9847715736040609,0.7412635367031204,400,0.860553988188115,0.08006104102500736,0.0020125136934903832,16.99604743083004,43,253,0.9420858900002389,0.4518008999951071,0.7914962937700091,1.0,0.7928122789763317,40.0,22,328,3111,119,5815,392,0.8112116849857993,0.08195333970168496,0.0020125136934903832,18.181818181818183,46,253,0.9962449494690752,0.4476381695375969,0.8340631214295936,1.0,392,0.8112116849857993,0.08185354192072022,0.0020125136934903832,13.438735177865613,34,253,0.9962449494690752,0.4311743690316001,0.7724661823076903,1.0,392,0.5240771604748944,0.08252819128694402,0.0020125136934903832,13.438735177865613,34,253,0.9962449494690752,0.4327102649473556,0.7724661823076903,1.0,0.929230744321109,0.929230744321109,1.3226699853169794,10,1551,2500,0.15,16.0,11.88069704269477,32.12570916306051,3,True,True,48.0,False,0,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,2,30000.0,5000.0,293,0.3285862938121097,0.02708338685070377,0.0020125136934903832,7.1146245059288535,18,253,0.9845690546168715,0.5695836160813582,0.9201946397730992,0.7440273037542662,0.6269234217254958,390,0.9983941200059442,0.08295034010941159,0.0020125136934903832,18.57707509881423,47,253,0.9974283262937159,0.46103317526498167,0.8650034713653891,1.0,1.515273173351995,0.012825899990275502,6.055401300080121,0.6127392000053078,0.42391310003586113,0.5613942999625579,0.15322780003771186,0.45602589985355735,13.460108899977058,0.6010908000171185,0.02241520001552999,True,392,0.6456148762775331,0.0860722458324782,0.002467655295343863,11.857707509881424,30,253,0.9535187970655727,0.38592464671096616,0.7293999249222688,0.8571428571428571,0.3491671176005354,434,0.645652708020979,0.07356183944632355,0.0020125136934903832,19.367588932806324,49,253,0.9717573154909799,0.4380073151404464,0.8033905060429908,1.0,0.8900934045844867,392,0.7716579748442165,0.087010439925645,0.0025448390648937585,1.976284584980237,5,253,0.8562888770598401,0.2667606172290803,0.5345258571211192,0.8137755102040817,0.04796321894766157,447,0.77169824665385,0.07128477692603737,0.0020125136934903832,9.881422924901186,25,253,0.982417967895248,0.3779368319842304,0.6938295312912504,1.0,0.6143736464264872
250000000.0,404,1.105369575821842,0.07314048108018542,0.0020026539345595856,17.372881355932204,41,236,0.9948530834837237,0.46097337182884823,0.7957890285444187,0.9727722772277227,0.7719053718591049,416,0.9020506739329874,0.07379069775014153,0.0020026539345595856,18.64406779661017,44,236,0.9948530834837237,0.46385532877967406,0.797616863507137,1.0,0.853782824008204,40.0,31,340,3231,126,5109,405,0.9719285300407792,0.07595556138191047,0.0020026539345595856,19.915254237288135,47,236,0.9741095706425751,0.45295927655960333,0.7768194040731455,1.0,405,0.9719285300407792,0.07574717459330568,0.0020026539345595856,12.288135593220339,29,236,0.9741095706425751,0.4301404764722185,0.7180256548634569,1.0,405,0.6669812466014912,0.07643610573134188,0.0020026539345595856,11.864406779661017,28,236,0.9741095706425751,0.43782834459182707,0.7170510146789268,1.0,0.5297964613754081,0.53260842613264,0.9348878803985463,10,1611,2500,0.15,16.0,12.264717452807334,30.762002359673737,3,True,True,48.0,False,0,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,3,30000.0,5000.0,313,0.3702934272985049,0.026643927422436032,0.0007664780411162182,7.627118644067797,18,236,0.9993747155263771,0.48866368837226737,0.9519951527294155,0.7571884984025559,0.6586092272341001,409,0.9017233961572344,0.07561096462996277,0.0007664780411162182,16.949152542372882,40,236,0.9993747155263771,0.4429886252166879,0.8192597004729363,1.0,1.1042766931081722,0.02613989997189492,6.08166380005423,0.6525052998913452,0.4695531001780182,0.41629570012446493,0.16946720017585903,0.4239177000708878,13.741873900056817,0.6230318000307307,0.024424100061878562,True,405,0.803454930204589,0.07779601300238438,0.003061512034432687,5.932203389830509,14,236,0.963449926667911,0.35635574572172024,0.6236533929718013,0.8641975308641975,0.3535605270594616,442,0.8037462802911007,0.06934745354840036,0.0015566881378636893,15.254237288135593,36,236,0.9948530834837237,0.4308398659438147,0.7422384694616008,1.0,0.7066832144500608,405,0.6075897432108861,0.0790220672451916,0.002447738339549884,3.389830508474576,8,236,0.9158726578320244,0.2718447528536104,0.5583822655241044,0.837037037037037,0.10153094549584898,454,0.606913095675685,0.0672192129677126,0.0020026539345595856,13.559322033898304,32,236,0.9948530834837237,0.3793957881130379,0.734953796478655,1.0,0.6375057938200146
250000000.0,406,0.7056457869582968,0.07123800437555781,0.0015421736507915174,15.5893536121673,41,263,0.9990619814735149,0.44206763243092334,0.8012821970201651,0.9753694581280788,1.124561046601729,417,0.7056457869582968,0.07109543140308958,0.0015421736507915174,17.11026615969582,45,263,0.9990619814735148,0.4465779197368207,0.8083594609496066,1.0,1.2163917904955974,40.0,29,269,3909,96,2465,390,0.9336877528105065,0.07614739643808685,0.001857964298033428,17.11026615969582,45,263,0.9857207307022076,0.44279257221957286,0.8212123477496358,1.0,390,0.9336877528105065,0.07599458455838483,0.001857964298033428,11.02661596958175,29,263,0.9749090314802078,0.42123394439273754,0.7138883538230667,1.0,390,0.5911712817573559,0.07649510495727395,0.001857964298033428,11.02661596958175,29,263,0.9749090314802078,0.43348488234357985,0.7138883538230667,1.0,0.6598712380995594,0.6598712380995594,1.3526267149092752,10,1949,2500,0.15,16.0,11.51043100570188,29.697484610853863,3,True,True,48.0,False,0,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,4,30000.0,5000.0,309,0.14153888269734985,0.02372012093888099,0.001857964298033428,7.224334600760456,19,263,0.9884045190741428,0.4824440149835389,0.9179209141067465,0.7249190938511327,0.5490930665465347,416,0.7928289079916021,0.0718714142542347,0.001857964298033428,20.15209125475285,53,263,0.9884045190741428,0.4707459911195996,0.8148499155332575,1.0,1.0649734624555973,0.022301199962385,6.238412300008349,0.6608277000486851,0.38966200000140816,0.41985820000991225,0.15678339987061918,0.29271910001989454,13.55985049996525,0.7598500999156386,0.024392699939198792,True,390,0.4657584874847752,0.07904874950251524,0.0021027290415439807,6.083650190114068,16,263,0.979475358816008,0.36522769776707387,0.6334506978342539,0.8307692307692308,0.37086790927496444,441,0.48892421792232665,0.06710346379226867,0.001857964298033428,15.209125475285171,40,263,0.998848260877134,0.4219060480615389,0.7925179060103341,1.0,1.0397285455618974,390,0.5260472562974663,0.08323828458716998,0.002015065141273898,2.661596958174905,7,263,0.9206263021300772,0.26489910249040155,0.5092032373892044,0.7974358974358975,0.1729099531714226,448,0.5260411017094032,0.06589053100491547,0.001857964298033428,12.547528517110266,33,263,0.9925423690973685,0.3684819903625023,0.7853710395812395,1.0,0.9361036731560946
250000000.0,425,1.3398762242323252,0.07026262056778358,0.0016555698048368935,17.509727626459146,45,257,0.9925470175730521,0.4521488684808931,0.7963919197753213,0.9788235294117648,0.9784774115625611,434,0.7775967883988759,0.06916599965316238,0.0016555698048368935,17.509727626459146,45,257,0.992547017573058,0.45074082377010405,0.801282578610564,1.0,0.9901259612796522,40.0,27,322,3279,92,4738,409,0.9565765677204564,0.07353116034463972,0.0016555698048368935,19.455252918287936,50,257,0.992547017573058,0.44365685704755986,0.7981929733366397,1.0,409,0.9565765677204564,0.07342037997368345,0.0016555698048368935,11.673151750972762,30,257,0.9842490877549896,0.420449948945952,0.7584553807519365,1.0,409,0.8541785576716585,0.07396791788628856,0.0016555698048368935,11.673151750972762,30,257,0.9842490877549896,0.43911282847039695,0.7584553807519365,1.0,0.7155101357097974,0.7155101357097974,1.1510097017119758,10,1635,2500,0.15,16.0,11.231899912114585,30.07424458095764,3,True,True,48.0,False,0,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,5,30000.0,5000.0,310,3.114765845102065,0.03786723030831169,0.0016161619852449955,5.836575875486381,15,257,0.9779252065223465,0.4056052845468448,0.8387907216458147,0.7354838709677419,0.40241461916962395,419,0.9833153880518846,0.07216620535819035,0.0016161619852449955,19.844357976653697,51,257,0.992547017573058,0.4503334966659965,0.8067717781328404,1.0,1.1142313682849485,0.008822300005704165,4.679535599891096,0.6567128001479432,0.3790692000184208,0.4794378000078723,0.17622889997437596,0.35276859998703003,13.821319699985906,0.6069531000684947,0.020261900033801794,True,409,1.2160212335340468,0.07740616823652359,0.0029105227451637857,6.22568093385214,16,257,0.9754589371690203,0.36258606428446444,0.6592909033116383,0.8508557457212714,0.33561621496865524,458,0.8007310228861275,0.06541408350052842,0.0016555698048368935,14.007782101167315,36,257,0.992547017573058,0.41849097789757034,0.761180378736358,1.0,0.7840771702241935,409,1.2462745750614845,0.07904637386511221,0.0033636698535367384,0.38910505836575876,1,257,0.8163694658421635,0.25037696324195535,0.47973560620868044,0.8190709046454768,0.013541852580390474,458,0.9728303988351337,0.06512785800374286,0.0016555698048368935,11.673151750972762,30,257,0.9990456390808459,0.376971348285599,0.7255663906262431,1.0,0.568231139486014
