bandwidth_hz,bk_fixed_K,bk_fixed_U_max,bk_fixed_U_mean,bk_fixed_U_min,bk_fixed_ent_edge_pct,bk_fixed_ent_exposed,bk_fixed_ent_total,bk_fixed_ent_z_max,bk_fixed_ent_z_mean,bk_fixed_ent_z_p90,bk_fixed_feasible_rate,bk_fixed_risk_sum,bk_rep_K,bk_rep_U_max,bk_rep_U_mean,bk_rep_U_min,bk_rep_ent_edge_pct,bk_rep_ent_exposed,bk_rep_ent_total,bk_rep_ent_z_max,bk_rep_ent_z_mean,bk_rep_ent_z_p90,bk_rep_feasible_rate,bk_rep_risk_sum,eirp_dbw,ent_moves_accepted,ent_moves_tried,eval_calls,lb_moves_accepted,lb_moves_tried,main_K,main_U_max,main_U_mean,main_U_min,main_ent_edge_pct,main_ent_exposed,main_ent_total,main_ent_z_max,main_ent_z_mean,main_ent_z_p90,main_feasible_rate,main_ref_K,main_ref_U_max,main_ref_U_mean,main_ref_U_min,main_ref_ent_edge_pct,main_ref_ent_exposed,main_ref_ent_total,main_ref_ent_z_max,main_ref_ent_z_mean,main_ref_ent_z_p90,main_ref_feasible_rate,main_ref_lb_K,main_ref_lb_U_max,main_ref_lb_U_mean,main_ref_lb_U_min,main_ref_lb_ent_edge_pct,main_ref_lb_ent_exposed,main_ref_lb_ent_total,main_ref_lb_ent_z_max,main_ref_lb_ent_z_mean,main_ref_lb_ent_z_p90,main_ref_lb_feasible_rate,main_ref_lb_risk_sum,main_ref_risk_sum,main_risk_sum,n_hotspots,n_splits,n_users,noise_frac,radius_modes_km,region_mode,rho_safe,seed,sigma_max,sigma_min,tgbp_fixed_K,tgbp_fixed_U_max,tgbp_fixed_U_mean,tgbp_fixed_U_min,tgbp_fixed_ent_edge_pct,tgbp_fixed_ent_exposed,tgbp_fixed_ent_total,tgbp_fixed_ent_z_max,tgbp_fixed_ent_z_mean,tgbp_fixed_ent_z_p90,tgbp_fixed_feasible_rate,tgbp_fixed_risk_sum,tgbp_rep_K,tgbp_rep_U_max,tgbp_rep_U_mean,tgbp_rep_U_min,tgbp_rep_ent_edge_pct,tgbp_rep_ent_exposed,tgbp_rep_ent_total,tgbp_rep_ent_z_max,tgbp_rep_ent_z_mean,tgbp_rep_ent_z_p90,tgbp_rep_feasible_rate,tgbp_rep_risk_sum,time_baseline_bkmeans_s,time_baseline_tgbp_s,time_baseline_with_qos_s,time_baseline_without_qos_s,time_ent_ref_s,time_lb_ref_s,time_split_s,time_usergen_s,use_hotspots,wk_demand_fixed_K,wk_demand_fixed_U_max,wk_demand_fixed_U_mean,wk_demand_fixed_U_min,wk_demand_fixed_ent_edge_pct,wk_demand_fixed_ent_exposed,wk_demand_fixed_ent_total,wk_demand_fixed_ent_z_max,wk_demand_fixed_ent_z_mean,wk_demand_fixed_ent_z_p90,wk_demand_fixed_feasible_rate,wk_demand_fixed_risk_sum,wk_demand_rep_K,wk_demand_rep_U_max,wk_demand_rep_U_mean,wk_demand_rep_U_min,wk_demand_rep_ent_edge_pct,wk_demand_rep_ent_exposed,wk_demand_rep_ent_total,wk_demand_rep_ent_z_max,wk_demand_rep_ent_z_mean,wk_demand_rep_ent_z_p90,wk_demand_rep_feasible_rate,wk_demand_rep_risk_sum,wk_qos_fixed_K,wk_qos_fixed_U_max,wk_qos_fixed_U_mean,wk_qos_fixed_U_min,wk_qos_fixed_ent_edge_pct,wk_qos_fixed_ent_exposed,wk_qos_fixed_ent_total,wk_qos_fixed_ent_z_max,wk_qos_fixed_ent_z_mean,wk_qos_fixed_ent_z_p90,wk_qos_fixed_feasible_rate,wk_qos_fixed_risk_sum,wk_qos_rep_K,wk_qos_rep_U_max,wk_qos_rep_U_mean,wk_qos_rep_U_min,wk_qos_rep_ent_edge_pct,wk_qos_rep_ent_exposed,wk_qos_rep_ent_total,wk_qos_rep_ent_z_max,wk_qos_rep_ent_z_mean,wk_qos_rep_ent_z_p90,wk_qos_rep_feasible_rate,wk_qos_rep_risk_sum
250000000.0,431,0.0013862288233937401,0.0001382800320333446,3.3700265048477893e-06,15.189873417721518,36,237,0.9828000536702082,0.4325872679443049,0.7509016271137563,0.988399071925754,0.7905235418684406,436,0.0013862288233937401,0.00013737855817835292,3.3700265048477893e-06,14.767932489451477,35,237,0.9713091090816144,0.43121146795829396,0.7435258353207727,1.0,0.7173425648061104,40.0,17,234,729,20,27108,365,0.0041443563121873,0.00016467013706982148,2.1149782261341506e-06,13.080168776371307,31,237,0.9595280337007884,0.4073720280606777,0.7444830750960368,1.0,365,0.0041443563121873,0.00016455919842852897,2.1149782261341506e-06,8.016877637130802,19,237,0.9201331044065111,0.3973214023394182,0.6855708109567297,1.0,365,0.0037560275711540515,0.00016456322698772563,2.1149782261341506e-06,8.016877637130802,19,237,0.9147170987551528,0.39975127127754934,0.6855708109567297,1.0,0.3112219304629862,0.32699460676931513,0.5372340329677909,10,364,2500,0.15,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,1,30000.0,5000.0,292,0.0006566888188132726,4.3772024437317194e-05,3.387744641143662e-06,4.219409282700422,10,237,0.9776370426218829,0.48646126579330545,0.88219473241643,0.7636986301369864,0.32004240935589345,379,0.004082837843275723,0.00015947526227076832,3.387744641143662e-06,13.50210970464135,32,237,0.9776370426218829,0.4258932975135474,0.7430808008060874,1.0,0.6301725295353151,20.565519600000698,0.5477710999984993,0.8962020000035409,0.841030999989016,0.22770529999979772,5.906640500004869,0.12277610000455752,0.024034499991103075,True,365,0.0012590226231562643,0.0001731290014382384,3.387744641143662e-06,10.548523206751055,25,237,0.9778708004989835,0.4067971846147477,0.7232913960259513,0.8356164383561644,0.4315422427535528,407,0.0012590203053995713,0.00014772725238094576,3.3700265048477893e-06,12.236286919831224,29,237,0.9776370426218829,0.4140171309409273,0.7571662912613097,1.0,0.5303301983034926,365,0.0014000873026843185,0.00017365835119233979,4.389619848786546e-06,6.329113924050633,15,237,0.9409889480870234,0.3465089712842362,0.6088327146049395,0.8438356164383561,0.21951097831504984,415,0.0014010768776993217,0.00014400125614230663,3.3700265048477893e-06,11.39240506329114,27,237,0.9809852719258614,0.39878656825153763,0.7084940042057051,1.0,0.49082682581500303
250000000.0,417,0.0013989385003685716,0.00014770234106256924,2.8568993597901462e-06,12.781954887218046,34,266,0.9966021370013701,0.4197007815516071,0.7484732110603886,0.9952038369304557,0.7014554260781112,419,0.0013989385003685716,0.0001471240277871245,2.8568993597901462e-06,12.781954887218046,34,266,0.9966021370013756,0.42053939584846384,0.7484732110603892,1.0,0.7014554260781131,40.0,33,354,757,21,27282,379,0.0025940090342398774,0.0001636970472495609,2.8568993597901462e-06,19.172932330827066,51,266,0.9899702616380628,0.4405619198302766,0.8065874382206515,1.0,379,0.0025269763121481877,0.00016315574880343555,2.8568993597901462e-06,11.278195488721805,30,266,0.9899702616380628,0.4193974077668162,0.7195905126715179,1.0,379,0.0021646415771256113,0.00016318136370327082,2.8568993597901462e-06,10.902255639097744,29,266,0.9899702616380628,0.42007433995009386,0.7133854701164765,1.0,0.7256567009983085,0.7400175743955486,1.2547237909088464,10,378,2500,0.15,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,2,30000.0,5000.0,300,0.0005851939061274347,4.834834512801081e-05,2.9132930086420533e-06,4.887218045112782,13,266,0.9899702616380628,0.42433460753626373,0.9545923066798065,0.7633333333333333,0.5816751047865182,392,0.0029059859610843443,0.00015857442084471973,2.8568993597901462e-06,16.541353383458645,44,266,0.9899702616380628,0.45553268152086124,0.7818511203033409,1.0,1.2693143555074349,24.13225070000044,0.48484829999506474,0.932456499998807,0.746323699990171,0.210880200000247,5.945762700008345,0.137194000009913,0.02314170000317972,True,379,0.0012095295359371028,0.00017242464379469452,2.9132930086420533e-06,12.030075187969924,32,266,0.9597143214281864,0.4204437969167938,0.7263497089191899,0.8654353562005277,0.6027033992454793,413,0.0012076725505499365,0.00014966218071100858,2.9132930086420533e-06,17.669172932330827,47,266,0.9966021370013756,0.43895343065118836,0.7771745496554112,1.0,0.9680636341430453,379,0.001299880045213704,0.00016952334052335808,3.821277537429395e-06,3.7593984962406015,10,266,0.9458961661992149,0.3506308253640538,0.6265884948558221,0.841688654353562,0.20357468332350587,425,0.0013010350760327746,0.00014457580823249594,2.9132930086420533e-06,11.654135338345865,31,266,0.9904578662833012,0.4057651106746075,0.7062303248611468,1.0,0.7453965827920028
250000000.0,455,0.0022185874055268137,0.00013596697147738875,2.5183456461424213e-06,11.155378486055778,28,251,0.9996578716229136,0.3835979193547955,0.738323608625039,0.9912087912087912,0.607131043516661,459,0.0022185874055268137,0.00013550567185464555,2.5183456461424213e-06,11.155378486055778,28,251,0.9996578716229079,0.3853933936780421,0.7276270295041093,1.0,0.60151963700506,40.0,13,252,791,39,23464,396,0.005846034103613434,0.00015822528151913673,2.5183456461424213e-06,17.131474103585656,43,251,0.9971864533881497,0.43068181016004875,0.8105436593646951,1.0,396,0.005846034103613434,0.00015787472277393279,2.5183456461424213e-06,14.342629482071713,36,251,0.9971864533881497,0.4224852997215244,0.7759789733741735,1.0,396,0.004767608660227284,0.00015787244038949016,2.5183456461424213e-06,14.342629482071713,36,251,0.9971864533881497,0.42414484264866814,0.7759789733741735,1.0,0.8812784623306014,0.8812784623306014,1.0473440194028072,10,395,2500,0.15,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,3,30000.0,5000.0,301,0.00039097556800385907,4.830757589405142e-05,3.3463091472718246e-06,9.56175298804781,24,251,0.9980483857958522,0.5156694038115118,0.9453523424047469,0.7408637873754153,0.8891792106539373,398,0.006369760950497958,0.00015831096915055424,3.3463091472718246e-06,22.310756972111555,56,251,0.9980483857958522,0.44974294510581897,0.8697652603230679,1.0,1.5833555269240893,23.474150900001405,0.5411075000010896,0.8927960000000894,1.5409708999941358,0.18656149999878835,5.142156200003228,0.1419568999990588,0.023657799989450723,True,396,0.002041176646039349,0.0001658560319964502,4.095704363213612e-06,9.9601593625498,25,251,0.9431485350784644,0.3871206316198021,0.716950600743401,0.8383838383838383,0.4045827495709872,444,0.0020423555884313055,0.00014023532537724102,3.2647736888148913e-06,17.529880478087648,44,251,0.9621512912291393,0.42425297393598466,0.8001657797616025,1.0,0.8878518500574187,396,0.0028163375063705596,0.00016653657480584873,2.5183456461424213e-06,5.179282868525896,13,251,0.9758805300193418,0.3125554051739391,0.6118810987979434,0.8358585858585859,0.30777156552788204,442,0.0029902786225158373,0.0001408241272261709,2.5183456461424213e-06,14.342629482071713,36,251,0.9592363903707812,0.38624949701193334,0.7587039612257032,1.0,0.6548050704124639
250000000.0,416,0.0018303594506081345,0.00015527861512256948,1.8418187312695316e-06,9.84251968503937,25,254,0.9630415826488616,0.3727862319200121,0.6910293088517873,0.9975961538461539,0.46599119964815844,417,0.0018303594506081345,0.00015454559602878472,1.8418187312695316e-06,10.236220472440944,26,254,0.963041582648864,0.3705158125819214,0.7004589837661925,1.0,0.4712115743944766,40.0,14,252,729,34,20442,365,0.00411132078233552,0.0001776652649564327,1.8418187312695316e-06,16.53543307086614,42,254,0.9980224005304102,0.4429967901332415,0.8141918147252327,1.0,365,0.00411132078233552,0.0001777688553218119,1.8418187312695316e-06,13.385826771653543,34,254,0.9780452761674625,0.4357775924027123,0.7992175832031729,1.0,365,0.0035835934213630516,0.00017768283358394416,1.8418187312695316e-06,12.992125984251969,33,254,0.9780452761674625,0.43104931855817125,0.7840679928282516,1.0,0.7988345098981988,0.814584693058,1.1299029754774061,10,364,2500,0.15,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,4,30000.0,5000.0,284,0.004354678098651492,7.519972602619669e-05,1.8418187312695316e-06,10.236220472440944,26,254,0.9959197712392949,0.4824221174388755,0.9231617832226198,0.7711267605633803,0.8666173104455317,370,0.004747949995815386,0.00017575158452448663,1.8418187312695316e-06,18.89763779527559,48,254,0.9959197712392949,0.44569872889644446,0.8178213642185685,1.0,1.2188871710892646,17.162798499994096,0.5070017999969423,0.8903323999984423,1.11302620000788,0.18622390000382438,4.514988399998401,0.1436249999969732,0.031180699996184558,True,365,0.001573844209059369,0.00018487632026249913,1.8418187312695316e-06,11.417322834645669,29,254,0.9756802425732356,0.40651337588019415,0.7163033662320534,0.8876712328767123,0.5463132176626504,398,0.0015742719914602417,0.00016278889385137605,1.8418187312695316e-06,13.385826771653543,34,254,0.9822918638811026,0.4163303470591433,0.7451291954151652,1.0,0.8207109651574345,365,0.0014362374396938683,0.00018766021349740558,1.8418187312695316e-06,5.118110236220472,13,254,0.9376707328333508,0.35957274592469224,0.6393576190146906,0.8438356164383561,0.17134734565943452,406,0.001438811100525993,0.00015992653258093114,1.8418187312695316e-06,12.204724409448819,31,254,0.9931588211486166,0.4141658153939312,0.768915853894656,1.0,0.8247669075713236
250000000.0,413,0.0016866857343084169,0.00014568469098075534,3.0336704838650684e-06,20.553359683794465,52,253,0.9966277338824003,0.43912593398820643,0.8206522407624303,0.9951573849878934,1.165081114322764,415,0.0016866857343084169,0.00014501582504558688,3.0336704838650684e-06,20.158102766798418,51,253,0.996627733882412,0.43649202937362536,0.8182930947421174,1.0,1.1511889303994303,40.0,14,274,697,61,13535,349,0.006452518936578767,0.00017162651810392928,3.320594305598067e-06,15.810276679841897,40,253,0.996627733882412,0.39308578624023827,0.8011934700626678,1.0,349,0.006419249439335328,0.0001714793474027968,3.320594305598067e-06,11.462450592885375,29,253,0.996627733882412,0.3805136035725207,0.7337865610283789,1.0,349,0.005280605807104266,0.00017132009638845433,3.320594305598067e-06,11.462450592885375,29,253,0.996627733882412,0.3787427248524527,0.7337865610283789,1.0,0.7890088959948336,0.7890088959948336,1.0269937291057574,10,348,2500,0.15,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,5,30000.0,5000.0,280,0.00039725354595619196,5.216832029765227e-05,3.0336704838650684e-06,7.905138339920948,20,253,0.9997503908035221,0.4999711776002811,0.9529503351298689,0.8285714285714286,0.7166993402632468,340,0.005362330929805375,0.00017788444290671326,3.0336704838650684e-06,18.181818181818183,46,253,0.9997503908035221,0.4311664676362964,0.835637487207375,1.0,1.4757309164742602,21.05398840000271,0.4899922000040533,0.730495299998438,0.7578559000103269,0.15132879999873694,2.8729617999924812,0.14880369999445975,0.027197700008400716,True,349,0.001736498080897203,0.0001851845828660068,4.126403432574785e-06,16.205533596837945,41,253,0.9853720107679863,0.43071107374991063,0.7739428625703826,0.8424068767908309,0.6560638264421774,394,0.0017373501930217138,0.0001520270028767911,3.320594305598067e-06,20.553359683794465,52,253,0.9809138215076293,0.44200196091025623,0.8037867371796441,1.0,1.0301514375972836,349,0.0019563344368919594,0.00018488581013040138,3.82801362200312e-06,9.486166007905139,24,253,0.9741294747256318,0.35682714386362185,0.7028930448750752,0.8481375358166189,0.3286104033374051,382,0.0019571617939586968,0.00015667387939849564,3.82801362200312e-06,18.57707509881423,47,253,0.996627733882412,0.4039161794895538,0.8107220301038656,1.0,1.0415629786833098
250000000.0,416,0.0015249014806814824,0.00016432801809498286,2.4312295735799454e-06,13.675213675213675,32,234,0.9600585792185606,0.4177859668384747,0.7772759612109259,0.9903846153846154,0.7320145096160198,420,0.0015249014806814824,0.00016606785754315673,2.4312295735799454e-06,14.957264957264957,35,234,0.9600585792185681,0.41987267923822164,0.7890079953383947,1.0,0.7559154753840776,40.0,18,262,743,14,23326,372,0.003011013984177282,0.00018754411680176888,2.4312295735799454e-06,17.521367521367523,41,234,0.9845704760119206,0.4355094517237694,0.8222440261442172,1.0,372,0.002990255448119774,0.00018733885308325513,2.4312295735799454e-06,13.247863247863247,31,234,0.9845704760119206,0.4207527673812658,0.7611946731658352,1.0,372,0.002751630163305002,0.00018739359900416284,2.4312295735799454e-06,13.247863247863247,31,234,0.9845704760119206,0.41959584787934534,0.7611946731658352,1.0,0.8132026598663432,0.8132026598663432,1.2050964131767032,10,371,2500,0.15,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,6,30000.0,5000.0,293,0.001091487428556079,5.8754491497337004e-05,3.551979179282042e-06,7.264957264957265,17,234,0.9930242431748193,0.47299765147658257,0.9316277637556413,0.7713310580204779,0.5444038758080154,380,0.0032500909678337057,0.00018604935197721157,3.3642212934225817e-06,17.094017094017094,40,234,0.9984391932671919,0.44337631603117167,0.8116629902585311,1.0,1.1517537465586678,19.351620199988247,0.5362809999933233,0.8345469999912893,0.7544410999980755,0.18086759999278001,4.873855199999525,0.13158309999562334,0.02734760000021197,True,372,0.001360793927113246,0.00020408734483425063,4.4208933532822596e-06,11.538461538461538,27,234,0.9852301825278541,0.4262243970172813,0.7320473073881015,0.8413978494623656,0.4853272281859372,413,0.001361159016440541,0.00016878146406300537,3.3642212934225817e-06,17.94871794871795,42,234,0.9845704760119206,0.45653966831389076,0.8200557797249579,1.0,0.964691018679339,372,0.0014121342138565488,0.00020207871284894923,3.1166972328829055e-06,3.8461538461538463,9,234,0.9799434615305526,0.32638545629020643,0.6007790381739718,0.8172043010752689,0.11748777496878139,422,0.0014125421849230536,0.00016495348452112346,3.1166972328829055e-06,15.811965811965813,37,234,0.9930242431748193,0.409563651080839,0.7804185020139992,1.0,0.8944544198209088
250000000.0,447,0.0020460702135580698,0.0001311509468186972,3.017460499331683e-06,13.008130081300813,32,246,0.9496382499806799,0.3801712378605577,0.7343049899892367,0.9955257270693513,0.4841516212204546,449,0.0020460702135580698,0.00013034339505954673,3.017460499331683e-06,13.008130081300813,32,246,0.9496382499806811,0.38097278551533026,0.7318509072718813,1.0,0.49418693576626527,40.0,17,263,775,47,23729,388,0.006508597505312864,0.0001512015920171486,3.2276847368740725e-06,16.260162601626018,40,246,0.9766179042920197,0.3861119327602922,0.783395701110241,1.0,388,0.006508597505312864,0.00015105764147281225,3.2276847368740725e-06,10.56910569105691,26,246,0.9766179042920197,0.37371165330549105,0.7418286677102581,1.0,388,0.005604260724971932,0.00015118487192158868,3.2276847368740725e-06,10.56910569105691,26,246,0.9766179042920197,0.37403545956748485,0.7418286677102581,1.0,0.6226523867909219,0.6226523867909219,0.7607385806307148,10,387,2500,0.15,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,7,30000.0,5000.0,300,0.00039826844382873035,4.873901319593792e-05,3.2276847368740725e-06,11.382113821138212,28,246,0.9863724641228975,0.5201870912448571,0.9401598996111393,0.7533333333333333,0.9915198623506155,397,0.008076437111079417,0.00014936319286157422,3.2276847368740725e-06,19.91869918699187,49,246,0.9998088020610055,0.44273706531940465,0.8569333561559851,1.0,1.4481156642244337,24.046678700004122,0.4897404000075767,0.9288238000008278,0.9346299999888288,0.216739299998153,5.213973800011445,0.13498069999332074,0.02722380000341218,True,388,0.0017789891601133227,0.00016155991698406277,5.430860374889431e-06,13.821138211382113,34,246,0.9700663136654261,0.4255787382372937,0.7614843107341084,0.8505154639175257,0.7527961144955149,425,0.001778997524101373,0.0001384203930743016,4.194738917387825e-06,19.10569105691057,47,246,0.990411778783856,0.443011072434426,0.818473462132998,1.0,1.182456538919956,388,0.0016200166027962746,0.0001600225586533578,4.194738917387825e-06,3.658536585365854,9,246,0.9602453356547603,0.3056365093103036,0.5935988226937874,0.8505154639175257,0.24563118114284177,432,0.001620282115188651,0.0001355527369804273,1.4587187390627546e-06,13.821138211382113,34,246,0.9583942740263239,0.37636412297957456,0.810388709495639,1.0,0.9473545672154511
250000000.0,478,0.0017117660633676124,0.00013561702782283004,3.2739026461895285e-06,18.46153846153846,48,260,0.9732078261800607,0.446021714657548,0.7837094257625036,0.9832635983263598,0.774677604566914,486,0.0017117660633676124,0.0001336586133911273,3.2739026461895285e-06,19.23076923076923,50,260,0.9732078261800604,0.4434240678571993,0.7846832024561656,1.0,0.7861179739636616,40.0,24,337,835,12,28653,418,0.002498873123319875,0.0001551853768272133,2.1824245607848897e-06,23.46153846153846,61,260,0.9999427630039398,0.4634652948259832,0.8215195846744572,1.0,418,0.002498873123319875,0.0001549500484816236,2.1824245607848897e-06,16.153846153846153,42,260,0.9633301726540151,0.4430239013357695,0.7796056403181536,1.0,418,0.0023464386109650452,0.00015496492113388553,3.631758968062305e-06,16.153846153846153,42,260,0.9633301726540151,0.4424415076887469,0.7796056403181536,1.0,0.9262870761972565,0.9262870761972565,1.3471926813626462,10,417,2500,0.15,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,8,30000.0,5000.0,318,0.0006319459234586995,4.794785814492076e-05,3.2379635421831377e-06,6.538461538461538,17,260,0.9935041133337134,0.4623597617737979,0.9036677024008708,0.7138364779874213,0.5093219811071402,429,0.00465963518523337,0.00015321600265828922,3.2379635421831377e-06,28.46153846153846,74,260,0.9999427630039398,0.49617668522359976,0.8587901388072133,1.0,1.8091013475609867,10.293086899997434,0.528705800010357,0.7452699999994365,0.8134198000043398,0.18733219998830464,6.876483800006099,0.1728947999945376,0.026118000008864328,True,418,0.0013773403837607648,0.0001595112903646054,3.2739026461895285e-06,15.76923076923077,41,260,0.982072892736227,0.4371169611363912,0.7712000405358124,0.8851674641148325,0.9473034239019164,450,0.0013769287974419349,0.00014399192240166164,3.2739026461895285e-06,20.76923076923077,54,260,0.997599135008704,0.4542857243759239,0.8074794337768175,1.0,1.1227132700269111,418,0.0011904644475424712,0.00016363672241518845,3.2379635421831377e-06,8.076923076923077,21,260,0.9923378900775843,0.36234246612386906,0.6686296691169802,0.84688995215311,0.39902310890048553,461,0.00119127133162794,0.00014031302877138646,3.2379635421831377e-06,18.846153846153847,49,260,0.9788122573447009,0.4251302501553107,0.7853120902764481,1.0,0.7326173665982773
250000000.0,461,0.0021089040551483746,0.00014919494184076907,2.1463261059091334e-06,19.215686274509803,49,255,0.9993615702436953,0.4282348169822513,0.7936307532816496,0.9934924078091106,0.9688624128806589,464,0.0021089040551483746,0.00014797152960398534,2.1463261059091334e-06,19.215686274509803,49,255,0.9993615702436927,0.4282441867048897,0.7935939664641796,1.0,0.968848782182397,40.0,25,310,765,72,21628,383,0.006581289135798186,0.00018024784084746606,2.1463261059091334e-06,23.529411764705884,60,255,0.996009677799505,0.4703446517174093,0.8568262092072163,1.0,383,0.006581289135798186,0.00017970223173626525,2.1463261059091334e-06,17.254901960784313,44,255,0.996009677799505,0.44999935300302296,0.7987838861139249,1.0,383,0.004712664450270068,0.00017993084131185684,2.1463261059091334e-06,17.254901960784313,44,255,0.996009677799505,0.44852602001697506,0.7971449409319921,1.0,1.079303506325199,1.1099970497311686,1.5398715119997697,10,382,2500,0.15,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,9,30000.0,5000.0,298,0.0017646064435110746,5.945576099229108e-05,2.1463261059091334e-06,11.372549019607844,29,255,0.9932317829654822,0.5897857777665187,0.9417018481004718,0.7651006711409396,0.990760355891207,385,0.00736942649221729,0.0001799862321855021,2.1463261059091334e-06,22.352941176470587,57,255,0.9999210880177607,0.4713068450908026,0.845023699808471,1.0,1.553976412993367,10.90537459999905,0.5053321000013966,0.7952281999896513,0.8434702000085963,0.1785437000071397,5.119708800004446,0.1563938000035705,0.026472000012290664,True,383,0.002524832468900394,0.00019456068701793934,2.1463261059091334e-06,15.294117647058824,39,255,0.9973660043062165,0.4664401596737573,0.8001128403519095,0.8224543080939948,0.9104036874490076,428,0.002530174882035407,0.0001610023617171112,2.1463261059091334e-06,22.745098039215687,58,255,0.9992268222630427,0.4721388134296084,0.8031768385658375,1.0,1.341049792987064,383,0.0020810862680612076,0.00019705175673159292,2.730941635956343e-06,5.490196078431373,14,255,0.9373516567344432,0.3464222805830603,0.6205352538587496,0.814621409921671,0.20256580510502198,426,0.0019722193219978896,0.00016081305891604098,2.1463261059091334e-06,13.333333333333334,34,255,0.996009677799505,0.4059364191696415,0.7545736029056616,1.0,0.9382710918562718
250000000.0,429,0.0013201353166534396,0.00013855736435072167,2.4768758786543765e-06,14.979757085020243,37,247,0.9928382685010407,0.45061814770854225,0.781097751263465,0.9906759906759907,0.891623386058064,433,0.0013201353166534396,0.00013764940961034827,2.4768758786543765e-06,14.979757085020243,37,247,0.9928382685010406,0.450879414297361,0.7841341397987931,1.0,0.9084296090898867,40.0,22,292,769,20,27954,385,0.002503583924591139,0.00015572903085658995,2.4768758786543765e-06,19.4331983805668,48,247,0.9966313928629762,0.45315788636205173,0.815742762226078,1.0,385,0.002503583924591139,0.0001554726580539085,2.4768758786543765e-06,12.955465587044534,32,247,0.9966313928629762,0.43737692240782494,0.7420554188894232,1.0,385,0.0020422493194352416,0.00015535066039195754,2.4768758786543765e-06,12.550607287449393,31,247,0.9966313928629762,0.434388902924685,0.7370919758793484,1.0,0.9359448820651525,0.9400965431316608,1.205853901151757,10,384,2500,0.15,"(5.0, 10.0, 15.0, 20.0)",turkey,0.7,10,30000.0,5000.0,298,0.0008393018593554797,4.905010152662881e-05,2.4768758786543765e-06,7.6923076923076925,19,247,0.9920592434058718,0.4527291448032006,0.9341092501277904,0.7583892617449665,0.6216847587470338,391,0.003618702104711545,0.00015445832861873737,2.4768758786543765e-06,23.481781376518217,58,247,0.9979280153215553,0.46959064726781985,0.8314359712001381,1.0,1.4329231743999715,9.903281699997024,0.36938910000026226,0.6854547999973875,0.8245251999906031,0.17592739999236073,6.4996668999956455,0.16249950000201352,0.028448699988075532,True,385,0.0011704442665529814,0.00016790946181742848,2.4768758786543765e-06,18.218623481781375,45,247,0.9720076771033065,0.44899934384866674,0.7832164366988871,0.8363636363636363,0.6940416657559099,431,0.0011710942187422085,0.00013781884282520977,2.4768758786543765e-06,17.408906882591094,43,247,0.9966313928629762,0.44043566179120025,0.778150415613381,1.0,0.9838945405207409,385,0.00105487117667299,0.00016228566179071505,3.5259823110622553e-06,6.0728744939271255,15,247,0.9888222905625202,0.3535131873512252,0.6490008317604086,0.825974025974026,0.3282111108736755,425,0.0010550687417700782,0.0001400774918700769,2.4768758786543765e-06,14.17004048582996,35,247,0.9966313928629762,0.4210902136823908,0.7629847080683202,1.0,0.8560892015920053
