metric,n_users,series,mean,median,std,p10,p90,min,max,n
used_sats,1000,MILP,90.2,86.0,16.50939126679115,74.6,109.0,69.0,119.0,5
mean_beam_load,50,Heuristic,0.1458609635715779,0.14536635637654835,0.036429268128799326,0.10807678770018266,0.1867829826873731,0.0993013923382491,0.2071205366368472,5
mean_beam_load,50,MILP,0.14333054234682402,0.142099303046643,0.037689184946682136,0.10660827159661082,0.18325869517027848,0.09184090852380944,0.20838710793568307,5
mean_beam_load,75,Heuristic,0.14619607513743613,0.13622288823922535,0.03127422887781406,0.12378561567811495,0.17914594168206385,0.11793313299203671,0.20720967891294662,5
mean_beam_load,75,MILP,0.1699963458379324,0.15707580415232353,0.028252388139963124,0.14207452487002734,0.20473898618003084,0.13726717259582513,0.21098853257978867,5
mean_beam_load,100,Heuristic,0.1535202072326968,0.1539539603501402,0.03334416870292548,0.11756282178239072,0.1903154822994472,0.10583216496927239,0.20626520381322969,5
mean_beam_load,100,MILP,0.18471595187348375,0.17984259214140927,0.032436389907120056,0.1499088899454185,0.22298451740268554,0.14305586231309383,0.23393683997540735,5
mean_beam_load,125,Heuristic,0.17158331070830016,0.16503708483054347,0.03781713418409265,0.13558351142665054,0.21495215423519215,0.1278988805504276,0.2390205103368713,5
mean_beam_load,125,MILP,0.19811630978137731,0.19944155212084352,0.031589955028594074,0.16684870985889433,0.23273017254283393,0.16183508035593203,0.2537793380806232,5
mean_beam_load,150,Heuristic,0.1731668995215739,0.1837827885939123,0.033259502701918985,0.13314707838464748,0.20375513042997823,0.11433565656614027,0.20607196947907375,5
mean_beam_load,150,MILP,0.21287522710934997,0.19903291694186206,0.021327376508623264,0.1938053107520067,0.23949118679680376,0.19320897544690502,0.2425870750873717,5
mean_beam_load,200,Heuristic,0.20487991123607405,0.21857285563956458,0.04649025787766329,0.15169644373169602,0.2527360165696614,0.1365973925202168,0.2739115079049588,5
mean_beam_load,200,MILP,0.252237751694792,0.25379195920320774,0.0354738947038654,0.21219639288964326,0.2927887212283286,0.2091606887105092,0.3009712833378454,5
mean_beam_load,300,Heuristic,0.2567849319735946,0.25819888927305196,0.03927715411726342,0.21239487233302948,0.2996354501591771,0.19641877843827743,0.31228129283291306,5
mean_beam_load,300,MILP,0.32868486366953376,0.3383992995797312,0.0254302600807982,0.2983597572874906,0.3524117638743753,0.28476494442879535,0.3590426238446585,5
mean_beam_load,500,Heuristic,0.2936806223333795,0.34316509385246363,0.08558684300132954,0.1877186597011304,0.3737397708571582,0.16478754664496684,0.3920285705176089,5
mean_beam_load,500,MILP,0.0967263019461487,0.004886134653537614,0.1477908134751266,0.004777855984454706,0.26487608212190644,0.004770642727357713,0.38600829765003597,5
