tag,n_users,theta_3db_deg,W_slots,ok_mean,ok_median,ok_std,ok_p10,ok_p90,ok_min,ok_max,ok_n,payload_feasible_mean,payload_feasible_median,payload_feasible_std,payload_feasible_p10,payload_feasible_p90,payload_feasible_min,payload_feasible_max,payload_feasible_n,K_mean,K_median,K_std,K_p10,K_p90,K_min,K_max,K_n,U_mean_mean,U_mean_median,U_mean_std,U_mean_p10,U_mean_p90,U_mean_min,U_mean_max,U_mean_n,U_max_mean,U_max_median,U_max_std,U_max_p10,U_max_p90,U_max_min,U_max_max,U_max_n,ent_edge_pct_mean,ent_edge_pct_median,ent_edge_pct_std,ent_edge_pct_p10,ent_edge_pct_p90,ent_edge_pct_min,ent_edge_pct_max,ent_edge_pct_n,best_m_mean,best_m_median,best_m_std,best_m_p10,best_m_p90,best_m_min,best_m_max,best_m_n,ms_n_active_mean,ms_n_active_median,ms_n_active_std,ms_n_active_p10,ms_n_active_p90,ms_n_active_min,ms_n_active_max,ms_n_active_n,payload_n_viol_K_mean,payload_n_viol_K_median,payload_n_viol_K_std,payload_n_viol_K_p10,payload_n_viol_K_p90,payload_n_viol_K_min,payload_n_viol_K_max,payload_n_viol_K_n,payload_n_viol_T_mean,payload_n_viol_T_median,payload_n_viol_T_std,payload_n_viol_T_p10,payload_n_viol_T_p90,payload_n_viol_T_min,payload_n_viol_T_max,payload_n_viol_T_n,payload_K_over_sum_mean,payload_K_over_sum_median,payload_K_over_sum_std,payload_K_over_sum_p10,payload_K_over_sum_p90,payload_K_over_sum_min,payload_K_over_sum_max,payload_K_over_sum_n,payload_T_over_sum_mean,payload_T_over_sum_median,payload_T_over_sum_std,payload_T_over_sum_p10,payload_T_over_sum_p90,payload_T_over_sum_min,payload_T_over_sum_max,payload_T_over_sum_n,runtime_total_s_mean,runtime_total_s_median,runtime_total_s_std,runtime_total_s_p10,runtime_total_s_p90,runtime_total_s_min,runtime_total_s_max,runtime_total_s_n
interaction:theta_x_Wslots,2000,0.9,6,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,628.0,628.0,0.0,628.0,628.0,628.0,628.0,1,0.1515092078669598,0.1515092078669598,0.0,0.1515092078669598,0.1515092078669598,0.1515092078669598,0.1515092078669598,1,1.12158696673343,1.12158696673343,0.0,1.12158696673343,1.12158696673343,1.12158696673343,1.12158696673343,1,12.608695652173912,12.608695652173912,0.0,12.608695652173912,12.608695652173912,12.608695652173912,12.608695652173912,1,8.0,8.0,0.0,8.0,8.0,8.0,8.0,1,8.0,8.0,0.0,8.0,8.0,8.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,132.29983670001093,132.29983670001093,0.0,132.29983670001093,132.29983670001093,132.29983670001093,132.29983670001093,1
interaction:theta_x_Wslots,2000,0.9,8,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,628.0,628.0,0.0,628.0,628.0,628.0,628.0,1,0.1515092078669598,0.1515092078669598,0.0,0.1515092078669598,0.1515092078669598,0.1515092078669598,0.1515092078669598,1,1.12158696673343,1.12158696673343,0.0,1.12158696673343,1.12158696673343,1.12158696673343,1.12158696673343,1,12.608695652173912,12.608695652173912,0.0,12.608695652173912,12.608695652173912,12.608695652173912,12.608695652173912,1,8.0,8.0,0.0,8.0,8.0,8.0,8.0,1,8.0,8.0,0.0,8.0,8.0,8.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,171.79946799999743,171.79946799999743,0.0,171.79946799999743,171.79946799999743,171.79946799999743,171.79946799999743,1
interaction:theta_x_Wslots,2000,1.0,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,592.0,592.0,0.0,592.0,592.0,592.0,592.0,1,0.1575390593609792,0.1575390593609792,0.0,0.1575390593609792,0.1575390593609792,0.1575390593609792,0.1575390593609792,1,1.5622273119724126,1.5622273119724126,0.0,1.5622273119724126,1.5622273119724126,1.5622273119724126,1.5622273119724126,1,10.434782608695652,10.434782608695652,0.0,10.434782608695652,10.434782608695652,10.434782608695652,10.434782608695652,1,8.0,8.0,0.0,8.0,8.0,8.0,8.0,1,8.0,8.0,0.0,8.0,8.0,8.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,48.260822299998836,48.260822299998836,0.0,48.260822299998836,48.260822299998836,48.260822299998836,48.260822299998836,1
interaction:theta_x_Wslots,2000,1.0,6,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,583.0,583.0,0.0,583.0,583.0,583.0,583.0,1,0.1631978869259674,0.1631978869259674,0.0,0.1631978869259674,0.1631978869259674,0.1631978869259674,0.1631978869259674,1,1.200595193629372,1.200595193629372,0.0,1.200595193629372,1.200595193629372,1.200595193629372,1.200595193629372,1,10.869565217391305,10.869565217391305,0.0,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,1,8.0,8.0,0.0,8.0,8.0,8.0,8.0,1,8.0,8.0,0.0,8.0,8.0,8.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,80.77237869998498,80.77237869998498,0.0,80.77237869998498,80.77237869998498,80.77237869998498,80.77237869998498,1
interaction:theta_x_Wslots,2000,1.0,8,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,583.0,583.0,0.0,583.0,583.0,583.0,583.0,1,0.1631978869259674,0.1631978869259674,0.0,0.1631978869259674,0.1631978869259674,0.1631978869259674,0.1631978869259674,1,1.200595193629372,1.200595193629372,0.0,1.200595193629372,1.200595193629372,1.200595193629372,1.200595193629372,1,10.869565217391305,10.869565217391305,0.0,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,1,8.0,8.0,0.0,8.0,8.0,8.0,8.0,1,8.0,8.0,0.0,8.0,8.0,8.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,91.16772289999062,91.16772289999062,0.0,91.16772289999062,91.16772289999062,91.16772289999062,91.16772289999062,1
interaction:theta_x_Wslots,2000,1.1,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,557.0,557.0,0.0,557.0,557.0,557.0,557.0,1,0.16861558347134936,0.16861558347134936,0.0,0.16861558347134936,0.16861558347134936,0.16861558347134936,0.16861558347134936,1,1.3476960760105903,1.3476960760105903,0.0,1.3476960760105903,1.3476960760105903,1.3476960760105903,1.3476960760105903,1,6.521739130434782,6.521739130434782,0.0,6.521739130434782,6.521739130434782,6.521739130434782,6.521739130434782,1,8.0,8.0,0.0,8.0,8.0,8.0,8.0,1,8.0,8.0,0.0,8.0,8.0,8.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,63.674484899966046,63.674484899966046,0.0,63.674484899966046,63.674484899966046,63.674484899966046,63.674484899966046,1
interaction:theta_x_Wslots,2000,1.1,6,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,550.0,550.0,0.0,550.0,550.0,550.0,550.0,1,0.17386868828112714,0.17386868828112714,0.0,0.17386868828112714,0.17386868828112714,0.17386868828112714,0.17386868828112714,1,1.523989091085753,1.523989091085753,0.0,1.523989091085753,1.523989091085753,1.523989091085753,1.523989091085753,1,7.391304347826087,7.391304347826087,0.0,7.391304347826087,7.391304347826087,7.391304347826087,7.391304347826087,1,8.0,8.0,0.0,8.0,8.0,8.0,8.0,1,8.0,8.0,0.0,8.0,8.0,8.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,80.38619389999076,80.38619389999076,0.0,80.38619389999076,80.38619389999076,80.38619389999076,80.38619389999076,1
interaction:theta_x_Wslots,2000,1.1,8,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,550.0,550.0,0.0,550.0,550.0,550.0,550.0,1,0.17386868828112714,0.17386868828112714,0.0,0.17386868828112714,0.17386868828112714,0.17386868828112714,0.17386868828112714,1,1.523989091085753,1.523989091085753,0.0,1.523989091085753,1.523989091085753,1.523989091085753,1.523989091085753,1,7.391304347826087,7.391304347826087,0.0,7.391304347826087,7.391304347826087,7.391304347826087,7.391304347826087,1,8.0,8.0,0.0,8.0,8.0,8.0,8.0,1,8.0,8.0,0.0,8.0,8.0,8.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,85.43240109996987,85.43240109996987,0.0,85.43240109996987,85.43240109996987,85.43240109996987,85.43240109996987,1
interaction:theta_x_Wslots,3000,0.9,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,899.0,899.0,0.0,899.0,899.0,899.0,899.0,1,0.15982889056800514,0.15982889056800514,0.0,0.15982889056800514,0.15982889056800514,0.15982889056800514,0.15982889056800514,1,1.2797786905156492,1.2797786905156492,0.0,1.2797786905156492,1.2797786905156492,1.2797786905156492,1.2797786905156492,1,11.290322580645162,11.290322580645162,0.0,11.290322580645162,11.290322580645162,11.290322580645162,11.290322580645162,1,13.0,13.0,0.0,13.0,13.0,13.0,13.0,1,13.0,13.0,0.0,13.0,13.0,13.0,13.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,122.96106759995746,122.96106759995746,0.0,122.96106759995746,122.96106759995746,122.96106759995746,122.96106759995746,1
interaction:theta_x_Wslots,3000,0.9,6,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,899.0,899.0,0.0,899.0,899.0,899.0,899.0,1,0.15982889056800514,0.15982889056800514,0.0,0.15982889056800514,0.15982889056800514,0.15982889056800514,0.15982889056800514,1,1.2797786905156492,1.2797786905156492,0.0,1.2797786905156492,1.2797786905156492,1.2797786905156492,1.2797786905156492,1,11.290322580645162,11.290322580645162,0.0,11.290322580645162,11.290322580645162,11.290322580645162,11.290322580645162,1,13.0,13.0,0.0,13.0,13.0,13.0,13.0,1,13.0,13.0,0.0,13.0,13.0,13.0,13.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,265.2994977000053,265.2994977000053,0.0,265.2994977000053,265.2994977000053,265.2994977000053,265.2994977000053,1
