SENSITIVITY TABLES

====================================================================================================
ONE-FACTOR SUMMARY

                                 tag                    x_name  x_value  n_users  payload_feasible_mean  payload_feasible_std  payload_feasible_min  payload_feasible_max  payload_feasible_n  K_mean     K_std  K_min  K_max  K_n  U_max_mean  U_max_std  U_max_min  U_max_max  U_max_n  ent_edge_pct_mean  ent_edge_pct_std  ent_edge_pct_min  ent_edge_pct_max  ent_edge_pct_n  ms_n_active_mean  ms_n_active_std  ms_n_active_min  ms_n_active_max  ms_n_active_n  payload_n_viol_K_mean  payload_n_viol_K_std  payload_n_viol_K_min  payload_n_viol_K_max  payload_n_viol_K_n  payload_n_viol_T_mean  payload_n_viol_T_std  payload_n_viol_T_min  payload_n_viol_T_max  payload_n_viol_T_n  payload_K_over_sum_mean  payload_K_over_sum_std  payload_K_over_sum_min  payload_K_over_sum_max  payload_K_over_sum_n  payload_T_over_sum_mean  payload_T_over_sum_std  payload_T_over_sum_min  payload_T_over_sum_max  payload_T_over_sum_n  runtime_total_s_mean  runtime_total_s_std  runtime_total_s_min  runtime_total_s_max  runtime_total_s_n
                   one_factor:Ks_max                    Ks_max    128.0     1500                    1.0                   0.0                   1.0                   1.0                   5   452.2 21.784398  433.0  491.0    5    0.477255   0.118245   0.311230   0.648724        5           8.733684          1.894809          6.081081         11.801242               5               5.4         0.800000              4.0              6.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             30.059515             9.951534            17.744379            45.993987                  5
                   one_factor:Ks_max                    Ks_max    128.0     2000                    1.0                   0.0                   1.0                   1.0                   5   538.8 29.572961  504.0  581.0    5    0.414265   0.094714   0.239590   0.518576        5           8.663217          2.147788          6.372549         12.440191               5               5.8         0.979796              4.0              7.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             38.133653             9.999447            28.449017            55.289371                  5
                   one_factor:Ks_max                    Ks_max    128.0     2500                    1.0                   0.0                   1.0                   1.0                   5   639.8 41.556708  569.0  697.0    5    0.627995   0.366808   0.270631   1.282817        5           6.774470          0.691927          5.508475          7.407407               5               7.6         1.019804              6.0              9.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             65.769457            27.943751            37.052312           118.177510                  5
                   one_factor:Ks_max                    Ks_max    128.0     3000                    1.0                   0.0                   1.0                   1.0                   5   742.2 32.486305  684.0  781.0    5    0.574371   0.168831   0.387487   0.864415        5           7.785295          0.859002          6.818182          9.354839               5               8.8         0.748331              8.0             10.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5            106.286518            21.449282            75.067572           140.846333                  5
                   one_factor:Ks_max                    Ks_max    128.0     3500                    1.0                   0.0                   1.0                   1.0                   5   833.6 41.567295  769.0  893.0    5    0.555588   0.209186   0.302066   0.933835        5           7.446906          1.621064          5.029586          8.959538               5               9.6         1.019804              8.0             11.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5            131.892726            18.009736           101.018713           152.677395                  5
                   one_factor:Ks_max                    Ks_max    128.0     4000                    1.0                   0.0                   1.0                   1.0                   5   890.6 37.425125  847.0  947.0    5    0.581146   0.101588   0.387840   0.675462        5           7.873926          2.008361          5.927835         11.421320               5               9.8         0.748331              9.0             11.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5            152.960361            38.890835           105.133447           209.273805                  5
                   one_factor:Ks_max                    Ks_max    128.0     4500                    1.0                   0.0                   1.0                   1.0                   5   974.6 49.584675  912.0 1050.0    5    1.087405   0.588655   0.468831   2.063045        5           7.968874          1.126836          6.196581          9.433962               5              11.8         1.469694             10.0             14.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5            205.441455            54.613869           102.555515           256.001596                  5
                   one_factor:Ks_max                    Ks_max    128.0     5000                    1.0                   0.0                   1.0                   1.0                   5  1059.8 44.305304 1009.0 1138.0    5    0.691286   0.152668   0.413664   0.853539        5           6.860625          0.602712          6.007752          7.723577               5              12.4         1.200000             11.0             14.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5            276.292222            78.909655           127.819647           360.081875                  5
                   one_factor:Ks_max                    Ks_max    256.0      100                    1.0                   0.0                   1.0                   1.0                   5    55.6  3.773592   49.0   59.0    5    0.091644   0.019836   0.074668   0.128796        5          16.489621          8.777725          8.333333         33.333333               5               1.0         0.000000              1.0              1.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             14.966671             0.142629            14.774895            15.168015                  5
                   one_factor:Ks_max                    Ks_max    256.0      200                    1.0                   0.0                   1.0                   1.0                   5    95.4  4.270831   89.0  101.0    5    0.166826   0.054824   0.117717   0.268646        5          10.643939          7.296363          0.000000         18.750000               5               1.0         0.000000              1.0              1.0              5                    0.0                   0.0                   0.0                   0.0                   5                    0.0                   0.0                   0.0                   0.0                   5                      0.0                     0.0                     0.0                     0.0                     5                      0.0                     0.0                     0.0                     0.0                     5             14.779774             0.067700            14.694300            14.899919                  5
