ok,tag,x_name,x_value,seed,n_users,theta_3db_deg,Ks_max,beam.theta_3db_deg,payload.Ks_max,payload_feasible,K,U_max,ent_edge_pct,ms_n_active,payload_n_viol_K,payload_n_viol_T,payload_K_over_sum,payload_T_over_sum,runtime_total_s
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.0,Ks=256",2,1500,1.0,256,1.0,256,1,395.0,0.44242926917723163,9.554140127388536,2.0,0.0,0.0,0.0,0.0,16.943416599995544
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.0,Ks=256",1,2000,1.0,256,1.0,256,1,545.0,0.41466306238254297,7.391304347826087,3.0,0.0,0.0,0.0,0.0,23.804146099995705
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.0,Ks=256",2,2000,1.0,256,1.0,256,1,477.0,0.388920099762174,7.368421052631579,2.0,0.0,0.0,0.0,0.0,16.986897699996916
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.0,Ks=320",1,1000,1.0,320,1.0,320,1,336.0,0.27009564391038055,9.70873786407767,2.0,0.0,0.0,0.0,0.0,15.830467799998587
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.0,Ks=320",2,1000,1.0,320,1.0,320,1,286.0,0.250258444299603,5.555555555555555,1.0,0.0,0.0,0.0,0.0,15.278588400000444
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.0,Ks=320",1,1500,1.0,320,1.0,320,1,452.0,0.4414842479640066,7.352941176470588,2.0,0.0,0.0,0.0,0.0,16.494295400003466
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.0,Ks=320",2,1500,1.0,320,1.0,320,1,395.0,0.44242926917723163,9.554140127388536,2.0,0.0,0.0,0.0,0.0,17.15457339999557
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.0,Ks=320",1,2000,1.0,320,1.0,320,1,520.0,0.6477065761763441,9.130434782608695,2.0,0.0,0.0,0.0,0.0,16.86793899999975
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.0,Ks=320",2,2000,1.0,320,1.0,320,1,477.0,0.388920099762174,7.368421052631579,2.0,0.0,0.0,0.0,0.0,17.067973999997776
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.1,Ks=192",1,1000,1.1,192,1.1,192,1,318.0,0.3079209705191932,7.766990291262136,2.0,0.0,0.0,0.0,0.0,16.02708480000001
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.1,Ks=192",2,1000,1.1,192,1.1,192,1,271.0,0.5494460564159036,7.339449541284404,2.0,0.0,0.0,0.0,0.0,15.903472500001953
1,interaction:theta_x_Ksmax,theta_x_Ksmax,"theta=1.1,Ks=192",1,1500,1.1,192,1.1,192,1,430.0,0.6506890066345047,5.882352941176471,3.0,0.0,0.0,0.0,0.0,17.398442399997293
