snapshot_time_utc_iso,total_sats,n_planes,sats_per_plane,n_users,ok_mean,ok_median,ok_std,ok_p10,ok_p90,ok_min,ok_max,ok_n,payload_feasible_mean,payload_feasible_median,payload_feasible_std,payload_feasible_p10,payload_feasible_p90,payload_feasible_min,payload_feasible_max,payload_feasible_n,K_mean,K_median,K_std,K_p10,K_p90,K_min,K_max,K_n,U_mean_mean,U_mean_median,U_mean_std,U_mean_p10,U_mean_p90,U_mean_min,U_mean_max,U_mean_n,U_max_mean,U_max_median,U_max_std,U_max_p10,U_max_p90,U_max_min,U_max_max,U_max_n,ent_edge_pct_mean,ent_edge_pct_median,ent_edge_pct_std,ent_edge_pct_p10,ent_edge_pct_p90,ent_edge_pct_min,ent_edge_pct_max,ent_edge_pct_n,best_m_mean,best_m_median,best_m_std,best_m_p10,best_m_p90,best_m_min,best_m_max,best_m_n,ms_n_active_mean,ms_n_active_median,ms_n_active_std,ms_n_active_p10,ms_n_active_p90,ms_n_active_min,ms_n_active_max,ms_n_active_n,payload_n_viol_K_mean,payload_n_viol_K_median,payload_n_viol_K_std,payload_n_viol_K_p10,payload_n_viol_K_p90,payload_n_viol_K_min,payload_n_viol_K_max,payload_n_viol_K_n,payload_n_viol_T_mean,payload_n_viol_T_median,payload_n_viol_T_std,payload_n_viol_T_p10,payload_n_viol_T_p90,payload_n_viol_T_min,payload_n_viol_T_max,payload_n_viol_T_n,payload_K_over_sum_mean,payload_K_over_sum_median,payload_K_over_sum_std,payload_K_over_sum_p10,payload_K_over_sum_p90,payload_K_over_sum_min,payload_K_over_sum_max,payload_K_over_sum_n,payload_T_over_sum_mean,payload_T_over_sum_median,payload_T_over_sum_std,payload_T_over_sum_p10,payload_T_over_sum_p90,payload_T_over_sum_min,payload_T_over_sum_max,payload_T_over_sum_n,runtime_total_s_mean,runtime_total_s_median,runtime_total_s_std,runtime_total_s_p10,runtime_total_s_p90,runtime_total_s_min,runtime_total_s_max,runtime_total_s_n
2026-01-01T00:00:00Z,96,6,16,2000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,220.0,229.0,27.957110008010485,185.8,248.2,179.0,249.0,5,79.62139784761249,84.44193843603247,11.0904000676804,66.25988678350681,90.88716967074257,65.20525110535351,93.19992956183353,5,,,,,,,,0
2026-01-01T00:00:00Z,96,6,16,3000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,306.0,302.0,34.93422390722313,267.6,341.0,246.0,341.0,5,128.48945175094818,131.7304471822839,18.89657209906771,106.0743171459041,148.93396278852433,101.40806148190133,152.19971504532683,5,,,,,,,,0
2026-01-01T00:00:00Z,96,8,12,1000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0.2,0.0,0.4000000000000001,0.0,0.6000000000000001,0.0,1.0,5,157.0,157.0,0.0,157.0,157.0,157.0,157.0,1,0.23672718468331766,0.23672718468331766,0.0,0.23672718468331766,0.23672718468331766,0.23672718468331766,0.23672718468331766,1,1.425993350162625,1.425993350162625,0.0,1.425993350162625,1.425993350162625,1.425993350162625,1.425993350162625,1,6.382978723404255,6.382978723404255,0.0,6.382978723404255,6.382978723404255,6.382978723404255,6.382978723404255,1,2.8,3.0,0.39999999999999997,2.4,3.0,2.0,3.0,5,2.8,3.0,0.39999999999999997,2.4,3.0,2.0,3.0,5,0.4,0.0,0.48989794855663565,0.0,1.0,0.0,1.0,5,1.2,1.0,0.7483314773547883,0.4,2.0,0.0,2.0,5,7.2,0.0,11.63443165779919,0.0,20.400000000000002,0.0,30.0,5,9.319916442482889,11.778329209509025,6.246387991621323,1.8840076005189688,15.605789749560547,0.0,17.806480744586743,5,0.382291299993085,0.382291299993085,0.0,0.382291299993085,0.382291299993085,0.382291299993085,0.382291299993085,1
2026-01-01T00:00:00Z,96,8,12,2000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,81.8,93.0,31.364948589149638,46.4,114.60000000000001,44.0,129.0,5,42.52717358143123,36.6500318148355,12.08387935767676,32.73574691373979,57.049168319430066,32.024063069370165,64.92884091183777,5,,,,,,,,0
2026-01-01T00:00:00Z,96,8,12,3000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,140.0,142.0,34.292856398964496,101.0,179.0,97.0,187.0,5,79.64870909646577,72.63506330474446,17.626983177428286,65.61692866608902,100.06661842578875,64.02420839189155,113.1765627123284,5,,,,,,,,0
2026-01-01T00:00:00Z,96,12,8,1000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,2.4,3.0,0.8,1.4,3.0,1.0,3.0,5,2.4,3.0,0.8,1.4,3.0,1.0,3.0,5,1.4,1.0,0.4898979485566356,1.0,2.0,1.0,2.0,5,1.2,1.0,0.4,1.0,1.6,1.0,2.0,5,90.2,84.0,13.905394636614956,76.6,107.4,75.0,111.0,5,24.89670629238307,22.61271600340704,6.9075917762599195,18.06361384416186,32.958979550577745,15.403996312888438,35.967339743793005,5,,,,,,,,0
2026-01-01T00:00:00Z,96,12,8,2000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,220.0,229.0,27.957110008010485,185.8,248.2,179.0,249.0,5,79.62139784761249,84.44193843603247,11.0904000676804,66.25988678350681,90.88716967074257,65.20525110535351,93.19992956183353,5,,,,,,,,0
2026-01-01T00:00:00Z,96,12,8,3000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,306.0,302.0,34.93422390722313,267.6,341.0,246.0,341.0,5,128.48945175094818,131.7304471822839,18.89657209906771,106.0743171459041,148.93396278852433,101.40806148190133,152.19971504532683,5,,,,,,,,0
2026-01-01T00:00:00Z,120,6,20,1000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,3.8,4.0,0.39999999999999997,3.4,4.0,3.0,4.0,5,3.8,4.0,0.39999999999999997,3.4,4.0,3.0,4.0,5,1.6,2.0,0.4898979485566356,1.0,2.0,1.0,2.0,5,1.2,1.0,0.4,1.0,1.6,1.0,2.0,5,72.2,67.0,18.23622768008779,53.2,93.4,46.0,99.0,5,24.10960806815502,24.731540311775788,4.442027363433618,19.08732334818551,28.879841412562932,17.500562473314353,30.702261272429283,5,,,,,,,,0
2026-01-01T00:00:00Z,120,6,20,2000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5,294.4,306.0,25.726251184344754,263.0,320.0,257.0,326.0,5,83.10410817316202,85.96442738091864,9.700147439856293,71.63308719244868,92.32980768540472,66.20072295355367,94.50152446593032,5,,,,,,,,0
