WALKER SIZE STUDY TABLES

Aggregation note:
- payload_feasible is best interpreted through mean
- continuous metrics are best interpreted through median and p10/p90
- by-time summary aggregates over seeds at each fixed snapshot time
- over-time summary aggregates over all runs across all fixed snapshot times and seeds

======================================================================================================================================================
INTERACTION SUMMARY BY TIME

snapshot_time_utc_iso  total_sats  n_planes  sats_per_plane  n_users  payload_feasible_mean  K_median  best_m_median  U_mean_median  U_max_median  ent_edge_pct_median  runtime_total_s_median  payload_T_over_sum_median
 2026-01-01T00:00:00Z         192         6              32     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 121.027021
 2026-01-01T00:00:00Z         192         8              24     1000                    0.2     275.0            4.0       0.266267      1.598343             9.821429                     NaN                   5.515078
 2026-01-01T00:00:00Z         192         8              24     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  84.441938
 2026-01-01T00:00:00Z         192         8              24     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 131.730447
 2026-01-01T00:00:00Z         192        12              16     1000                    0.2     241.0            4.0       0.267105      5.781902             5.813953                5.386909                   2.525312
 2026-01-01T00:00:00Z         192        12              16     2000                    0.0       NaN            6.0            NaN           NaN                  NaN                     NaN                  54.581696
 2026-01-01T00:00:00Z         192        12              16     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 131.730447
 2026-01-01T06:00:00Z          72         6              12     1000                    0.2      72.0            1.0       0.236437      1.236305             0.000000                0.100706                   9.614769
 2026-01-01T06:00:00Z          72         6              12     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  47.064871
 2026-01-01T06:00:00Z          72         6              12     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  76.213299
 2026-01-01T06:00:00Z          72         8               9     1000                    1.0       NaN            1.0            NaN           NaN                  NaN                0.020862                   0.000000
 2026-01-01T06:00:00Z          72         8               9     2000                    1.0       NaN            1.0            NaN           NaN                  NaN                0.033349                   0.000000
 2026-01-01T06:00:00Z          72         8               9     3000                    1.0       NaN            1.0            NaN           NaN                  NaN                0.045856                   0.000000
 2026-01-01T06:00:00Z          72        12               6     1000                    0.0       NaN            2.0            NaN           NaN                  NaN                     NaN                  24.103905
 2026-01-01T06:00:00Z          72        12               6     2000                    0.0       NaN            2.0            NaN           NaN                  NaN                     NaN                  71.383768
 2026-01-01T06:00:00Z          72        12               6     3000                    0.0       NaN            2.0            NaN           NaN                  NaN                     NaN                 124.791636
 2026-01-01T06:00:00Z          96         6              16     1000                    0.8      70.0            1.0       0.275458      1.144905            10.526316                0.155431                   0.000000
 2026-01-01T06:00:00Z          96         6              16     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  19.408477
 2026-01-01T06:00:00Z          96         6              16     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  43.072937
 2026-01-01T06:00:00Z          96         8              12     1000                    0.2     158.0            3.0       0.229570      1.448750             4.347826                0.425931                  10.193356
 2026-01-01T06:00:00Z          96         8              12     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  37.646748
 2026-01-01T06:00:00Z          96         8              12     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  75.030615
 2026-01-01T06:00:00Z          96        12               8     1000                    0.0       NaN            3.0            NaN           NaN                  NaN                     NaN                   5.833355
 2026-01-01T06:00:00Z          96        12               8     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 101.337558
 2026-01-01T06:00:00Z          96        12               8     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 163.918485
 2026-01-01T06:00:00Z         120         6              20     1000                    0.0       NaN            2.0            NaN           NaN                  NaN                     NaN                  27.700357
 2026-01-01T06:00:00Z         120         6              20     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  82.900793
 2026-01-01T06:00:00Z         120         6              20     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 135.886105
 2026-01-01T06:00:00Z         120         8              15     1000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  38.474115
 2026-01-01T06:00:00Z         120         8              15     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 105.086654
 2026-01-01T06:00:00Z         120         8              15     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 166.818668
 2026-01-01T06:00:00Z         120        12              10     1000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  25.145221
 2026-01-01T06:00:00Z         120        12              10     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  74.498964
 2026-01-01T06:00:00Z         120        12              10     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 126.012096
 2026-01-01T06:00:00Z         144         6              24     1000                    0.8      74.0            1.0       0.288339      1.849062            10.025063                0.168632                   0.000000
 2026-01-01T06:00:00Z         144         6              24     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  19.408477
 2026-01-01T06:00:00Z         144         6              24     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  43.072937
 2026-01-01T06:00:00Z         144         8              18     1000                    0.0       NaN            4.0            NaN           NaN                  NaN                     NaN                  19.373308
 2026-01-01T06:00:00Z         144         8              18     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 101.040057
 2026-01-01T06:00:00Z         144         8              18     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 163.147308
 2026-01-01T06:00:00Z         144        12              12     1000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                   4.776247
 2026-01-01T06:00:00Z         144        12              12     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  37.646748
 2026-01-01T06:00:00Z         144        12              12     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  75.030615
 2026-01-01T06:00:00Z         168         6              28     1000                    0.0       NaN            3.0            NaN           NaN                  NaN                     NaN                   8.553693
 2026-01-01T06:00:00Z         168         6              28     2000                    0.0       NaN            4.0            NaN           NaN                  NaN                     NaN                  55.134758
 2026-01-01T06:00:00Z         168         6              28     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  94.475954
 2026-01-01T06:00:00Z         168         8              21     1000                    0.2     258.0            4.0       0.298664      2.431477             9.821429                1.637709                  11.864048
 2026-01-01T06:00:00Z         168         8              21     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  88.999342
 2026-01-01T06:00:00Z         168         8              21     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 131.249120
 2026-01-01T06:00:00Z         168        12              14     1000                    0.2     179.0            5.0       0.304041      1.693731             4.938272                1.061278                   1.905563
 2026-01-01T06:00:00Z         168        12              14     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  56.898567
 2026-01-01T06:00:00Z         168        12              14     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 112.038876
 2026-01-01T06:00:00Z         192         6              32     1000                    0.4     177.0            4.0       0.397482      2.879593             9.986966                1.503484                   4.574308
 2026-01-01T06:00:00Z         192         6              32     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  77.484705
 2026-01-01T06:00:00Z         192         6              32     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 127.684140
 2026-01-01T06:00:00Z         192         8              24     1000                    0.4     253.0            5.0       0.311069      4.832271            12.844037                3.053489                   0.000000
